UID	SID	Stability	Community_type	CST	Count	MT_avail	loc	Sort	Lactobacillus_crispatus	Gardnerella_vaginalis	Lactobacillus_iners	Lactobacillus_gasseri	Lactobacillus_jensenii	Atopobium_vaginae	Streptococcus_anginosus	BVAB1	Prevotella_bivia	Prevotella_amnii	Bifidobacterium_breve	Mobiluncus_mulieris	Prevotella_timonensis	Megasphaera_genomosp.	Peptostreptococcus_anaerobius	Streptococcus_agalactiae	Porphyromonas_uenonis	Prevotella_buccalis	Finegoldia_magna	Prevotella_sp.	Corynebacterium_amycolatum	Mageeibacillus_indolicus	Peptoniphilus_harei	Sneathia_amnii	Staphylococcus_lugdunensis	Prevotella_disiens	Prevotella_corporis	Lactobacillus_kefiranofaciens	Sneathia_sanguinegens	Anaerococcus_lactolyticus	Staphylococcus_epidermidis	Enterococcus_faecalis	Corynebacterium_striatum	Bifidobacterium_longum	Corynebacterium_pseudogenitalium	Anaerococcus_tetradius	Propionimicrobium_lymphophilum	Ruminococcus_lactaris	Clostridiales_Family	Mobiluncus_curtisii	Propionibacterium_sp.	Corynebacterium_jeikeium	Peptoniphilus_lacrimalis	Megasphaera_sp.	Actinomyces_turicensis	Porphyromonas_asaccharolytica	Actinomyces_neuii	Lactobacillus_oris	Lactobacillus_johnsonii	Corynebacterium_aurimucosum	Streptococcus_urinalis	Escherichia_coli	Prevotella_bergensis	Peptoniphilus_duerdenii	Staphylococcus_haemolyticus	Anaerococcus_hydrogenalis	Ureaplasma_urealyticum	Lactobacillus_vaginalis	Prevotella_oris	Megasphaera_micronuciformis	Facklamia_hominis	Streptococcus_dysgalactiae	Peptostreptococcus_sp.	Streptococcus_mitis	Lactobacillus_coleohominis	Streptococcus_pneumoniae	Staphylococcus_aureus	Prevotella_denticola	Prevotella_pallens	Actinobaculum_massiliae	Arcanobacterium_sp.	Prevotella_multiformis	Peptoniphilus_asaccharolyticus	Actinomyces_sp.	Prevotella_melaninogenica	Dialister_microaerophilus	Corynebacterium_glucuronolyticum	Brevibacterium_mcbrellneri	Veillonella_parvula	Dialister_micraerophilus	Corynebacterium_genitalium	Gemella_haemolysans	Corynebacterium_diphtheriae	Streptococcus_pseudoporcinus	Ureaplasma_parvum	Lactobacillus_amylolyticus	Actinomyces_europaeus	Streptococcus_bovis	Lactobacillus_helveticus	Actinomyces_graevenitzii	Lactobacillus_amylovorus	Anaerococcus_prevotii	Enterococcus_faecium	Streptococcus_gallolyticus	Atopobium_parvulum	Bifidobacterium_sp.	Mycoplasma_hominis	Prevotella_stercorea	Streptococcus_vestibularis	Clostridium_sp.	Dorea_formicigenerans	Actinomyces_urogenitalis	Staphylococcus_simulans	Haemophilus_parainfluenzae	Veillonella_atypica	Tannerella_forsythensis	Bacteroides_thetaiotaomicron	Lactobacillus_fermentum	Streptococcus_orisratti	Prevotella_buccae	Actinobaculum_schaalii	Corynebacterium_urealyticum	Prevotella_oulorum	Streptococcus_constellatus	Paracoccus_denitrificans	Streptococcus_salivarius	Beggiatoa_sp.	Fusobacterium_gonidiaformans	Lactobacillus_salivarius	Prevotella_intermedia	Prevotella_tannerae	Streptococcus_sp.	Prevotella_micans	Leptotrichia_sp.	Peptostreptococcus_stomatis	Prevotella_histicola	Acidaminococcus_intestini	Streptococcus_equi	Streptococcus_pyogenes	Prevotella_oralis	Corynebacterium_lipophiloflavum	Filifactor_alocis	Bifidobacterium_dentium	Peptoniphilus_sp.	Parabacteroides_sp.	Bacteroides_stercoris	Lactobacillus_ultunensis	Streptococcus_parasanguinis	Megasphaera_elsdenii	Dialister_invisus	Lachnospiraceae_bacterium	Actinobacillus_pleuropneumoniae	Prevotella_salivae	Prevotella_nigrescens	Aerococcus_urinae	Porphyromonas_levii	Streptococcus_ictaluri	Peptoniphilus_indolicus	Prevotella_maculosa	Faecalibacterium_prausnitzii	Eremococcus_coleocola	Bacteroides_sp.	Bacteroides_vulgatus	Parvimonas_micra	Parvimonas_sp.	Pasteurella_multocida	Oribacterium_sp.	Odoribacter_laneus	Bacillus_cereus	Actinomyces_coleocanis	Odoribacter_splanchnicus	Jonquetella_anthropi	Porphyromonas_somerae	Lactobacillus_acidophilus	Lactobacillus_ruminis	Klebsiella_oxytoca	Chlamydia_trachomatis	Streptococcus_massiliensis	Acinetobacter_baumannii	Granulicatella_elegans	Eubacterium_siraeum	Neisseria_gonorrhoeae	Streptococcus_pseudopneumoniae	Salmonella_enterica	Streptobacillus_moniliformis	Sutterella_wadsworthensis	Proteus_mirabilis	Campylobacter_jejuni	Bifidobacterium_animalis	Veillonella_ratti	Lactobacillus_antri	Eubacterium_cylindroides	Bacteroides_ovatus	Eubacterium_sp.	Eggerthella_lenta	Prevotella_dentalis	Prevotella_marshii	Sphingobacterium_spiritivorum	Enterococcus_durans	Fusobacterium_nucleatum	Lactococcus_lactis	Aerococcus_viridans	Leptotrichia_wadei	Fusobacterium_sp.	Campylobacter_hominis	Granulicatella_adiacens	Prevotella_bryantii	Lactobacillus_reuteri	Rothia_mucilaginosa	Treponema_phagedenis	Veillonella_sp.	Leptotrichia_shahii	Pasteurella_bettyae	Prevotella_multisaccharivorax	Prevotella_nanceiensis	Corynebacterium_glutamicum	Eggerthella_sp.	Lactobacillus_delbrueckii	Solobacterium_moorei	Bifidobacterium_pseudocatenulatum	Staphylococcus_hominis	Streptococcus_sanguinis	Eubacterium_saburreum	Corynebacterium_resistens	Megasphaera_cerevisiae	Staphylococcus_caprae	Corynebacterium_uterequi	Bifidobacterium_bifidum	Anaerococcus_vaginalis	Leptotrichia_hofstadii	Leptotrichia_buccalis	Candidatus_Pelagibacter	Lactobacillus_sakei	Burkholderia_mallei	Streptococcus_infantarius	Clostridium_difficile	Prevotella_veroralis	Mycoplasma_fermentans	Chryseobacterium_gleum	Mycoplasma_primatum	Corynebacterium_ciconiae	Dorea_longicatena	Clostridium_saccharolyticum	Anaeroglobus_geminatus	Collinsella_tanakaei	Ralstonia_pickettii	Campylobacter_fetus	Johnsonella_ignava	Coprobacillus_sp.	Streptococcus_oralis	Leptotrichia_goodfellowii	Roseomonas_cervicalis	Mycobacterium_parascrofulaceum	Bacteroides_intestinalis	Atopobium_rimae	Streptococcus_macacae	Mycoplasma_genitalium	Myroides_odoratimimus	Mesorhizobium_sp.	Arcanobacterium_haemolyticum	Brucella_abortus
AYAC09_W1D7	AYAC09	Stable	Lcrispatus	I	1	1	1	0.997920026	0.997920026	1.98E-06	0.000551097	0.000108781	0.000320925	5.17E-07	0.000266553	0	0.000507995	2.81E-06	0	0	1.72E-06	7.48E-07	3.98E-07	3.09E-07	0	8.61E-07	5.18E-06	1.59E-06	0	0	0	0	0	5.71E-06	2.90E-06	8.07E-05	0	0	4.53E-06	3.09E-07	0	0	4.80E-07	0	0	0	0	0	6.42E-05	3.78E-07	0	0	0	0	1.92E-05	0	2.57E-06	0	1.85E-06	9.10E-07	7.48E-07	0	0	2.28E-06	0	0	5.00E-07	0	0	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	0	0	5.91E-07	0	0	0	0	0	0	0	0	0	0	0	3.64E-06	7.91E-05	0	0	5.29E-06	4.09E-07	4.10E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-06	2.85E-07	0	0	0	0	0	1.71E-07	0	5.17E-07	0	0	0	0	0	0	0	0	0	0	4.67E-07	0	1.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95E-06	0	2.28E-07	0	0	0	0	0	0	0	0	0	0	0	2.50E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AYAC10_W9D5	AYAC10	Stable	Lcrispatus	I	5	1	2	0.997027412	0.997027412	0.000786736	0.000553565	0.000159468	9.64E-05	2.48E-07	3.39E-06	0	1.11E-05	1.34E-07	1.44E-08	0	4.37E-07	0	0	1.51E-06	0	8.36E-07	3.88E-06	9.15E-07	1.75E-05	0	7.77E-07	0	7.83E-08	3.05E-07	0	1.26E-08	0	3.74E-08	1.85E-05	6.30E-06	3.05E-07	1.96E-07	9.96E-06	7.74E-08	5.05E-07	0	1.06E-06	6.18E-07	1.36E-05	9.63E-06	1.97E-07	2.97E-08	0	0	6.80E-07	1.41E-06	0.000894621	2.86E-06	2.58E-08	2.91E-06	2.28E-07	2.67E-07	2.51E-06	1.02E-07	6.99E-08	7.49E-07	3.06E-07	0	2.24E-08	0	6.64E-08	0	2.96E-05	0	1.40E-07	6.54E-08	0	1.07E-06	0	0	0	1.08E-07	0	0	2.61E-08	2.22E-05	9.23E-08	1.01E-07	2.91E-06	0	2.26E-07	0	0	0	6.35E-08	0	0.00010028	0	0	9.65E-08	3.95E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09E-07	0	0	0	5.84E-07	0	0	4.01E-07	2.30E-08	0	0	0	0	0	0	0	0	0	0	0	1.99E-08	0	0	3.89E-07	0	0	0	0	0	0.000203115	1.94E-07	0	0	0	0	0	0	0	0	0	0	3.62E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UAB093_W1D7	UAB093	Stable	Lcrispatus	I	1	1	3	0.996846904	0.996846904	0.000712374	0.000603963	0.000365336	0.000162454	1.46E-07	1.37E-05	1.40E-07	1.28E-06	2.33E-07	7.39E-07	3.04E-06	1.50E-05	0	0	3.63E-07	0	5.17E-06	3.96E-05	5.82E-07	4.13E-06	1.13E-07	3.16E-06	0	1.04E-06	1.04E-06	1.42E-06	7.41E-07	0	2.07E-07	2.06E-05	1.44E-07	4.39E-07	0	1.20E-05	2.01E-07	1.45E-06	0	2.55E-07	5.82E-07	9.26E-06	3.05E-07	5.09E-07	0	2.46E-07	0	5.85E-05	0	0.000764233	1.14E-06	2.69E-08	4.49E-06	7.08E-07	5.26E-07	0	1.09E-05	1.19E-05	7.07E-07	0	0	1.11E-05	0	3.56E-07	0	5.26E-06	0	2.00E-07	6.38E-08	0	0	0	0	1.80E-07	4.67E-06	0	1.64E-07	2.93E-07	0	0	1.26E-07	6.82E-07	0	1.16E-06	1.04E-07	2.42E-05	0	5.36E-08	0	6.09E-05	0	0	1.23E-06	0	4.76E-07	0	0	0	0	0	0	0	3.59E-07	6.24E-06	0	0	0	0	0	0	0	0	0	0	0	3.24E-07	0	0	0	1.87E-06	0	0	0	0	0	0	0	0	2.88E-08	3.29E-07	0	0	0	0	2.71E-07	0	0	0.000181589	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99E-07	0	0	0	0	0	0	0	0	0	0	0	4.34E-08	1.45E-05	0	3.36E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AYAC09_W9D7	AYAC09	Stable	Lcrispatus	I	5	1	4	0.996388561	0.996388561	0.000203768	0.001401134	0.000725339	0.000506792	7.98E-06	0.000108583	1.18E-05	2.55E-06	2.39E-05	1.94E-06	9.02E-06	2.64E-06	1.15E-05	1.85E-06	8.05E-06	4.83E-06	7.72E-07	9.84E-06	6.35E-06	0	1.64E-06	3.32E-07	0	9.12E-07	0	4.53E-07	0.000239713	5.54E-07	0	4.86E-05	1.59E-05	3.46E-07	6.24E-07	2.15E-05	1.64E-06	0	5.30E-07	2.21E-07	0	2.72E-05	1.24E-06	1.50E-06	2.22E-06	0	0	1.05E-05	5.30E-06	3.98E-06	7.48E-07	1.53E-06	1.16E-05	0	2.16E-07	3.18E-06	8.56E-07	3.59E-06	7.18E-07	0	0	1.92E-06	0	2.07E-07	6.26E-06	1.57E-05	9.32E-07	3.65E-07	0	7.58E-07	0	0	0	0	2.49E-06	1.78E-07	0	2.89E-06	0	1.06E-06	2.29E-07	9.63E-07	1.46E-06	1.48E-06	0	2.45E-07	0	0	7.82E-07	7.38E-05	0	0	9.93E-06	0	4.27E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21E-07	0	0	0	0	0	0	0	0	0	0	0	1.38E-06	0	0	0	0	0	0	1.68E-06	0	0	3.09E-07	0	0	0	0	2.00E-05	2.90E-07	0	0	0	0	6.56E-07	0	0	0	0	0	0	3.23E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	5.37E-06	0	7.69E-07	0	0	0	0	0	0	4.42E-07	0	0	0	0	0	6.22E-07	0	0	0	0	0	0	0	0	0	0	0	0	1.58E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UAB093_W7D7	UAB093	Stable	Lcrispatus	I	4	1	5	0.996180601	0.996180601	0.000733085	0.000537238	0.001012717	0.000162385	1.05E-06	4.85E-05	9.30E-07	9.08E-06	9.06E-07	4.74E-07	3.29E-07	6.07E-05	3.22E-07	0	2.76E-06	0	1.34E-05	0.000101503	3.14E-06	4.92E-07	0	1.77E-05	0	7.75E-07	4.92E-06	7.18E-06	7.51E-07	0	3.91E-07	4.62E-06	6.58E-07	0	0	3.68E-06	2.66E-06	2.80E-07	0	9.14E-07	2.87E-06	2.33E-05	0	6.13E-06	0	1.01E-06	4.77E-07	3.35E-05	0	0.000630343	1.72E-06	2.36E-07	1.16E-07	2.76E-06	1.27E-06	0	3.51E-05	1.69E-05	0	1.17E-06	0	1.89E-05	0	0	0	5.50E-06	0	0	8.98E-07	0	0	0	0	0	5.56E-06	0	0	6.17E-07	0	0	1.77E-06	0	0	9.90E-07	0	4.26E-05	0	0	0	5.75E-05	0	0	4.13E-06	0	0	0	0	0	0	0	0	0	0	3.34E-07	0	0	5.59E-07	0	0	0	0	8.82E-07	0	0	0	0	0	0	0	6.79E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56E-07	0	0	0.0001693	0	0	0	0	5.66E-07	0	0	0	0	0	1.58E-07	0	0	0	0	0	0	0	0	0	8.47E-07	0	0	0	0	0	1.58E-05	0	0	0	0	0	0	0	0	0	0	0	0	8.13E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.87E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UAB093_W4D2	UAB093	Stable	Lcrispatus	I	2	1	6	0.995036368	0.995036368	0.000763251	0.001499642	0.000252416	0.00016032	2.57E-06	2.38E-05	1.62E-05	4.59E-06	1.58E-07	0	2.00E-06	9.12E-05	2.80E-06	0	1.37E-05	0	2.22E-05	0.000452796	9.84E-06	2.01E-06	0	5.17E-05	0	1.05E-06	1.20E-05	3.84E-06	0	0	5.77E-06	3.01E-05	3.97E-06	7.07E-07	0	2.08E-05	1.10E-05	1.23E-06	0	8.99E-06	0	1.08E-05	0	5.75E-06	0	0	7.84E-07	5.51E-06	0	0.000677843	3.33E-06	8.64E-07	0	3.17E-06	5.36E-06	0	0.000113516	5.96E-05	7.16E-07	0	0	0.000126485	0	4.36E-06	0	4.72E-06	0	0	0	0	0	0	0	0	5.89E-06	1.06E-06	8.05E-07	1.11E-06	0	0	2.06E-06	0	0	0	0	0.000159795	0	0	0	5.44E-05	0	0	4.34E-05	0	0	0	0	0	0	0	0	0	0	7.39E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41E-06	7.34E-07	0	0	0	9.73E-07	0	0	0	0	0	0	0	0	0	3.56E-06	0	0	0.000175121	0	0	0	0	2.62E-06	0	2.67E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	6.41E-07	0	0	0	0	0	8.20E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.83E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UAB093_W5D7	UAB093	Stable	Lcrispatus	I	3	1	7	0.994444719	0.994444719	0.000796666	0.000569004	0.000243843	0.000168945	1.84E-07	5.40E-06	3.29E-07	2.05E-07	3.08E-07	1.47E-05	1.51E-06	3.08E-06	4.24E-07	5.10E-08	1.57E-06	0	1.38E-06	4.20E-05	2.87E-07	1.67E-06	0	2.03E-06	0	2.11E-07	2.03E-07	3.33E-07	0	0	0	7.74E-06	1.17E-06	0	8.28E-08	4.74E-06	5.42E-07	3.43E-07	0	5.02E-07	0	4.59E-05	0	7.53E-07	5.14E-08	0	0	3.23E-07	0	0.00064658	9.53E-07	6.39E-08	3.06E-07	4.53E-07	1.16E-06	3.60E-07	1.68E-05	0.000646127	0	0	0	2.70E-05	0	1.62E-07	0	5.51E-06	0	1.69E-07	0	0	0	0	0	0	7.78E-07	0	3.42E-07	3.85E-07	0	0	8.02E-08	1.57E-07	0	7.58E-07	3.63E-07	0.00203418	0	9.16E-08	0	5.37E-05	0	0	1.20E-06	0	7.88E-08	0	0	0	0	0	0	0	0	1.02E-06	0	9.67E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21E-06	0	0	0	0	0	0	0	0	0	0	0	7.49E-08	0	0	2.33E-07	0	0	0.000184337	0	0	0	0	0	0	0	0	0	0	6.26E-08	0	0	0	0	0	0	0	0	6.65E-07	0	0	0	0	0	0	1.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	2.80E-07	2.27E-07	0	0	0	0	0	0	0	0	0	0	0	0	7.02E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UAB010_W7D5	UAB010	Unstable	Lcrispatus	I	4	1	8	0.99015344	0.99015344	0.001436437	0.001089354	0.000844825	0.005884527	2.80E-07	1.91E-05	2.21E-06	7.64E-06	4.90E-07	1.76E-07	7.90E-07	1.76E-06	6.55E-08	1.13E-06	7.07E-08	3.32E-08	6.34E-07	3.11E-05	2.60E-07	2.00E-07	1.50E-07	9.04E-06	7.14E-08	0	2.38E-05	3.40E-06	2.67E-06	0	9.55E-07	2.16E-06	4.48E-06	2.47E-07	6.30E-06	1.11E-07	4.45E-06	6.58E-06	0	5.40E-07	1.82E-07	8.64E-05	0	4.49E-07	1.22E-07	2.69E-07	0	9.19E-06	1.79E-07	3.05E-06	0	1.36E-06	7.24E-06	2.85E-08	4.98E-07	1.09E-07	2.20E-07	5.02E-08	0.000183375	6.71E-08	0	4.50E-07	3.55E-08	6.94E-07	2.10E-07	5.37E-05	1.51E-07	0	1.02E-07	0	2.61E-08	0	0	0	7.93E-08	0	7.85E-07	2.03E-06	0	9.62E-07	6.10E-07	2.23E-07	2.90E-08	0	6.67E-08	0	0	0	5.10E-07	8.67E-05	0	6.41E-08	1.19E-07	1.35E-07	2.83E-07	0	0	0	0	0	0	0	1.78E-07	0	1.54E-06	7.39E-08	0	0	1.77E-06	0	0	0	0	3.37E-07	0	0	2.03E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04E-05	0	0	0	0	0	0	1.27E-07	0	0	0	0	5.43E-08	0	0	0	0	0	0	0	0	0	0	9.99E-08	0	0	0	2.85E-06	0	1.52E-07	0	0	5.14E-07	0	0	0	0	0	0	0	2.89E-07	3.79E-07	1.13E-07	0	4.05E-07	0	0	0	0	0	0	0	0	0	3.55E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AYAC02_W7D5	AYAC02	Unstable	Lcrispatus	I	4	1	9	0.989617069	0.989617069	0.000784279	0.000553951	0.000122372	0.003644256	1.32E-06	1.42E-05	1.08E-05	0.000320335	1.30E-05	0.001429273	1.44E-05	5.32E-05	2.00E-06	1.99E-05	4.31E-05	9.66E-06	4.99E-05	0.000101554	5.76E-06	4.62E-05	2.32E-06	7.19E-05	1.02E-07	1.45E-06	1.86E-05	0.000497873	0.000886968	1.61E-07	2.77E-06	1.59E-05	7.60E-06	1.86E-06	8.58E-05	3.36E-05	6.38E-06	5.30E-05	1.37E-07	1.60E-05	6.60E-06	2.44E-05	6.76E-06	1.19E-05	5.18E-08	9.94E-06	7.02E-07	9.11E-07	0	0.000630253	6.51E-06	3.30E-07	1.71E-05	1.29E-05	5.25E-06	1.21E-06	8.18E-06	4.40E-08	0	6.51E-06	3.60E-06	7.04E-05	0	4.72E-06	0	7.87E-06	0	2.08E-07	2.61E-06	4.26E-07	2.88E-06	5.68E-08	0	1.43E-07	0.000244796	1.12E-06	2.64E-06	6.22E-06	2.31E-05	4.85E-07	3.32E-06	2.39E-06	0	7.24E-06	1.58E-06	0	0	2.11E-05	0	9.68E-05	4.56E-07	0	3.47E-06	8.64E-07	1.00E-07	0	1.78E-07	0	6.90E-08	7.98E-07	7.62E-08	0	1.47E-06	0	2.70E-07	3.64E-07	2.21E-06	0	2.17E-06	0	2.25E-07	8.91E-07	1.42E-06	4.70E-07	0	0	4.15E-07	0	2.69E-07	9.08E-08	7.40E-08	2.29E-07	0	1.35E-07	0	2.55E-07	0	0	0	4.14E-07	6.70E-08	1.31E-06	7.28E-08	8.35E-08	4.93E-07	2.89E-07	3.82E-08	0.000145097	0	0	0	0	2.70E-07	0	0	1.03E-07	0	0	0	6.38E-07	0	6.33E-06	0	0	0	0	0	1.85E-07	2.14E-07	0	4.27E-07	1.96E-07	0	8.77E-08	8.62E-06	0	6.94E-08	0	0	9.30E-07	0	0	2.50E-07	0	0	0	0	3.00E-07	2.88E-07	6.54E-08	0	0	0	0	0	2.53E-06	0	0	0	0	7.85E-08	4.05E-08	4.14E-08	0	0	3.28E-07	0	0	0	0	0	1.98E-07	0	0	0	2.12E-07	0	2.20E-07	1.26E-07	0	0	0	0	0	8.17E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AYAC03_W8D6	AYAC03	Unstable	NonLacto	I	4	1	10	0.988901055	0.988901055	4.77E-05	0.000679731	0.005414788	0.000441306	1.78E-06	0.000102632	1.11E-05	0.000474698	1.41E-05	1.49E-05	2.60E-06	0.000353955	2.07E-06	1.33E-05	1.13E-05	2.23E-06	0.000119795	0.000176354	4.11E-06	2.64E-06	1.10E-06	8.68E-05	0	1.21E-05	6.19E-05	0.000766359	0.00015391	1.87E-07	4.25E-05	7.50E-07	1.26E-06	1.29E-06	1.42E-07	4.14E-06	5.67E-06	5.00E-06	0	0.000125609	2.20E-06	1.52E-05	3.17E-06	2.31E-05	0	2.23E-06	5.11E-07	3.83E-06	7.68E-07	1.59E-05	1.95E-06	1.03E-05	4.87E-06	4.42E-05	1.41E-05	3.20E-06	1.11E-05	0	7.97E-06	2.67E-05	1.46E-06	1.05E-05	1.62E-07	2.26E-06	0	0.000795028	0	0	3.52E-06	4.96E-07	3.34E-07	0	0	0	8.54E-07	0	1.72E-06	2.85E-07	1.52E-07	0	6.64E-06	2.38E-07	0	1.31E-06	3.34E-06	0	0	8.50E-07	3.31E-07	7.91E-05	0	0.000766684	2.58E-06	1.98E-07	0	0	0	0	0	0	0	0	0	0	0	0	4.48E-07	1.46E-06	1.55E-06	1.20E-06	5.57E-06	0	6.08E-07	0	0	3.90E-06	0	0	1.41E-06	0	1.57E-07	0	0	0	0	0	0	0	0	5.34E-07	0	0	0	6.87E-06	2.29E-06	0	0	2.08E-05	0	0	2.08E-06	0	0	0	0	1.02E-06	0	0	0	1.31E-06	0	0	0	0	9.25E-07	9.68E-08	0	2.96E-07	0	0	0	0	0	4.68E-07	6.96E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.08E-06	0	0	0	0	0	0	0	0	9.97E-07	0	0	0	7.49E-07	1.09E-06	0	1.18E-06	0	0	5.22E-07	2.51E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
