,MT_FC,MT_p,MG_FC,MG_p,Comparison
K00001,3.499086077,2.76E-05,2.925547497,9.68E-07,I_IV
K00002,-4.775465793,3.63E-09,-5.503519396,3.03E-14,I_IV
K00003,-0.509987934,0.354335532,-0.288594293,0.129844805,I_IV
K00004,1.339545058,0.019821426,0.11917875,0.947959889,I_IV
K00005,-2.538833252,0.000532618,-4.314717433,9.02E-10,I_IV
K00008,-0.346599594,0.657876318,-1.459831085,0.098827757,I_IV
K00009,5.184322564,1.29E-09,5.863844659,5.83E-21,I_IV
K00010,-3.263376629,1.27E-05,-3.966315282,1.14E-06,I_IV
K00011,0.668243563,0.141263522,-0.274559411,0.737691524,I_IV
K00012,-4.015319478,7.77E-07,-4.793438375,4.53E-10,I_IV
K00013,0.327956923,0.608367243,-2.787231388,0.00069386,I_IV
K00014,-2.839300493,0.000121245,-5.570569109,5.17E-30,I_IV
K00015,-0.933933572,0.167921978,-4.147292906,2.05E-08,I_IV
K00016,1.759354224,3.35E-08,1.505752625,1.43E-18,I_IV
K00018,-5.207148761,6.08E-12,-5.976557848,1.68E-14,I_IV
K00019,0.972845692,0.035626086,-0.956677229,0.064622918,I_IV
K00020,-2.522384047,0.000164316,-3.219276931,1.57E-05,I_IV
K00021,0.701212872,0.165814731,-0.488683988,0.628818453,I_IV
K00024,-3.093342743,7.80E-07,-5.71119019,4.18E-14,I_IV
K00025,,,-0.09081405,0.94599804,I_IV
K00027,-3.088769321,7.32E-06,-1.419258153,0.015722399,I_IV
K00028,,,-0.390712778,0.684438863,I_IV
K00029,-4.289568071,8.75E-07,-5.54463255,4.51E-10,I_IV
K00030,-3.338688151,7.82E-06,-4.190498273,2.05E-07,I_IV
K00031,-0.510275961,0.633158961,-4.143265122,4.65E-06,I_IV
K00033,3.956978844,4.87E-20,0.726986266,5.61E-05,I_IV
K00034,1.156915634,0.021599667,-0.362368252,0.767108658,I_IV
K00036,2.96168919,1.54E-10,0.46528296,0.026831635,I_IV
K00037,,,0.003116321,0.997889762,I_IV
K00038,0.84394459,0.129381282,0.881124798,0.275714178,I_IV
K00040,-0.466823892,0.552240829,-1.340284761,0.114360199,I_IV
K00041,0.874306785,0.087335579,-0.110387187,0.940674994,I_IV
K00042,-1.845937709,0.000354104,-3.838666287,2.32E-07,I_IV
K00043,-4.150155293,2.15E-06,-7.207829267,5.35E-14,I_IV
K00044,,,-0.00958859,0.993997032,I_IV
K00045,,,-0.237324771,0.835249159,I_IV
K00046,-4.08124525,1.18E-08,-4.777000294,1.33E-09,I_IV
K00048,-4.166102475,1.38E-06,-7.1231299,1.13E-19,I_IV
K00050,-2.189324537,0.00050027,-4.799998765,3.23E-09,I_IV
K00052,-2.150863319,0.003079005,-5.459402748,9.97E-12,I_IV
K00053,-3.290717681,5.20E-05,-5.80973403,3.70E-14,I_IV
K00054,3.388110359,3.53E-12,1.977185184,1.97E-14,I_IV
K00055,1.093615729,0.020849924,0.058178583,0.968578513,I_IV
K00057,0.332064023,0.170853176,0.062784475,0.682239546,I_IV
K00058,-2.55277311,9.91E-07,1.157883714,0.000143205,I_IV
K00059,0.263676115,0.435313681,0.79778832,0.001472048,I_IV
K00060,0.700660209,0.381704774,-0.813571241,0.230201189,I_IV
K00065,-1.431979075,0.015027409,-3.894951428,1.10E-07,I_IV
K00067,-3.855222979,1.25E-06,-4.401693232,1.04E-11,I_IV
K00068,-1.769834303,0.002226539,-2.483659292,7.91E-05,I_IV
K00073,0.673192918,0.159085445,0.168855587,0.91535143,I_IV
K00074,-3.364196336,3.46E-05,-1.356516614,0.049633626,I_IV
K00075,0.163752922,0.595546177,-0.555504433,3.15E-07,I_IV
K00076,1.363198778,0.008254571,-0.571561086,0.429051628,I_IV
K00077,-4.791545875,2.21E-10,-6.178898368,2.48E-22,I_IV
K00078,-0.108234219,0.905856645,-1.718993978,0.021618411,I_IV
K00079,-1.049697117,0.096464023,-2.609435148,0.000119837,I_IV
K00082,,,-0.534798062,0.463687469,I_IV
K00086,2.463087056,0.000297625,2.363227054,0.001894286,I_IV
K00087,0.705195025,0.264294204,-2.033849952,0.006247748,I_IV
K00088,-0.942432551,0.000156057,-0.547057885,2.51E-09,I_IV
K00090,0.894054479,0.075739855,0.308171935,0.744749967,I_IV
K00091,,,-0.380315714,0.629846178,I_IV
K00094,1.107804769,0.016276926,0.002957295,0.997889762,I_IV
K00096,-0.724241885,0.342008722,-2.331446751,0.006211507,I_IV
K00097,-4.796958854,2.81E-09,-5.210490034,8.81E-11,I_IV
K00098,0.943372038,0.04676743,-1.240341632,0.025769067,I_IV
K00099,-4.612836902,8.91E-11,-6.929656397,4.21E-19,I_IV
K00100,2.563485608,3.81E-12,2.768575246,3.04E-21,I_IV
K00101,0.828631873,0.154015961,2.451417069,0.003737224,I_IV
K00102,0.524458032,0.552240829,-0.239236152,0.901585901,I_IV
