KEGG	AYAC02_W1D7	AYAC02_W3D1	AYAC02_W5D6	AYAC02_W7D5	AYAC02_W9D3	AYAC03_W1D7	AYAC03_W4D7	AYAC03_W7D5	AYAC03_W8D6	AYAC03_W9D7	AYAC05_W1D6	AYAC05_W3D7	AYAC05_W5D5	AYAC05_W7D7	AYAC05_W9D7	AYAC09_W1D7	AYAC09_W3D4	AYAC09_W5D7	AYAC09_W7D4	AYAC09_W9D7	AYAC10_W1D7	AYAC10_W2D7	AYAC10_W5D4	AYAC10_W8D1	AYAC10_W9D5	EM04_W1D7	EM04_W3D7	EM09_W2D3	EM09_W4D4	EM09_W6D7	EM09_W8D5	EM09_W9D6	EM10_W1D7	EM10_W3D2	EM10_W4D7	EM10_W6D5	EM10_W8D7	EM11_W1D7	EM11_W3D6	EM11_W5D7	EM11_W7D7	EM11_W9D7	UAB002_W1D4	UAB002_W5D7	UAB002_W7D7	UAB002_W9D7	UAB006_W2D2	UAB006_W7D7	UAB006_W9D7	UAB007_W1D7	UAB007_W6D3	UAB007_W7D7	UAB007_W9D7	UAB010_W3D1	UAB010_W5D6	UAB010_W7D5	UAB011_W1D7	UAB011_W3D6	UAB011_W7D1	UAB011_W7D7	UAB011_W9D7	UAB015_W10D7	UAB015_W1D5	UAB015_W3D1	UAB015_W9D4	UAB021_W3D7	UAB021_W5D7	UAB021_W8D3	UAB022_W10D1	UAB022_W2D1	UAB022_W4D1	UAB022_W6D1	UAB028_W1D7	UAB028_W3D7	UAB028_W5D5	UAB028_W7D7	UAB028_W9D7	UAB035_W2D7	UAB035_W3D6	UAB035_W5D7	UAB035_W7D4	UAB035_W9D7	UAB038_W2D2	UAB038_W3D7	UAB038_W5D7	UAB038_W7D4	UAB038_W9D7	UAB039_W1D7	UAB039_W3D6	UAB039_W5D7	UAB039_W7D7	UAB039_W9D7	UAB044_W1D7	UAB044_W3D7	UAB044_W5D7	UAB044_W7D7	UAB044_W9D7	UAB048_W1D7	UAB048_W3D7	UAB048_W5D2	UAB048_W7D7	UAB048_W9D7	UAB052_W10D2	UAB052_W1D5	UAB052_W4D2	UAB052_W5D7	UAB052_W8D3	UAB060_W10D2	UAB060_W1D6	UAB060_W3D7	UAB060_W5D7	UAB060_W7D7	UAB071_W10D2	UAB071_W1D7	UAB071_W3D7	UAB071_W5D7	UAB071_W7D7	UAB077_W1D7	UAB077_W3D1	UAB077_W5D7	UAB077_W8D2	UAB077_W9D7	UAB079_W10D1	UAB079_W2D2	UAB079_W3D7	UAB079_W6D7	UAB079_W7D6	UAB082_W10D2	UAB082_W2D5	UAB082_W3D7	UAB082_W5D7	UAB088_W10D1	UAB088_W2D1	UAB088_W4D1	UAB088_W6D1	UAB088_W7D6	UAB093_W1D7	UAB093_W4D2	UAB093_W5D7	UAB093_W7D7	UAB093_W9D6	UAB096_W1D5	UAB096_W3D3	UAB096_W5D3	UAB096_W7D3	UAB096_W9D7	UAB106_W1D7	UAB106_W3D7	UAB106_W5D4	UAB106_W7D7	UAB106_W9D7	UAB110_W10D4	UAB110_W1D7	UAB110_W3D7	UAB110_W6D2	UAB110_W7D7	UAB116_W1D7	UAB116_W4D6	UAB116_W6D7	UAB116_W9D6	UAB117_W1D6	UAB117_W3D6	UAB117_W5D6	UAB117_W8D1	UAB117_W9D6	UAB119_W1D7	UAB119_W3D7	UAB119_W5D7	UAB119_W7D7	UAB119_W9D7	UAB122_W1D7	UAB122_W3D4	UAB122_W4D7	UAB122_W6D5	UAB122_W9D6	UAB129_W10D2	UAB129_W1D7	UAB129_W3D3	UAB129_W5D7	UAB129_W7D7
K00001	621	582	210	0	132	45	0	72	2112	439	0	0	26	495	40	1783	63	3	16	122	52	88	18	0	0	0	100	0	7	143	0	0	0	0	0	0	0	111	9	77	623	448	35	86	941	335	0	17	542	2682	59	170	2	288	44	9	0	2	3	10	3	166	18	0	29	33	2	100	4	0	0	38	4341	630	21041	670	1877	0	299	4	0	41	0	0	0	0	0	8	0	5	329	2	7	0	2	2051	5	8	15	3	2	2	5	0	67	39	0	88	245	35	123	90	71	0	0	4	18	0	44	76	25	365	83	40	194	10	30	14	10	34	29	4	13	0	0	68	639	1582	3162	3240	928	16	146	0	64	23	877	251	1612	169	4	0	2	104	215	140	54	51	2	2	0	2	2	36	6	22	18	31	2534	153	840	64	4	61	8	348	983	0	0	82
K00002	0	36	4	0	74	1076	8	491	88	279	180	9	1255	165	48	0	45	0	24	3	5	48	10	145	0	0	0	22	7269	0	3179	0	3	2	8	0	2	0	0	0	25	5	52	4	6	0	27	922	9547	10	13	0	25	6	8	77	79	610	173	150	30	1089	142	62	210	19	59	3399	813	3	283	9472	0	2503	735	6	4	3165	1712	255	0	112	0	0	894	0	59	232	0	295	492	0	0	31	0	6	16	67	551	27	0	218	19	33	71	30	35	110	6363	393	2775	3794	790	268	329	460	249	189	311	737	296	3586	6098	1351	69620	4184	1291	707	2388	775	152	207	156	170	150	1469	47	80	40	9	132	745	120	327	0	50	153	116	143	68	36	0	303	19	335	426	6762	1661	1077	118	117	67	0	87	8	155	4	34	191	0	71	30	207	95	677	149	191	88	6656	16
K00003	807	902	285	2	270	2442	381	3033	1243	785	8	36	54	1088	32	555	97	178	115	459	134	261	35	81	2	3	0	97	0	660	800	2509	47	32	0	0	2	301	30	62	1232	594	130	97	718	210	262	630	2395	277	59	225	63	493	466	146	172	1234	470	186	651	3002	1615	1142	1961	515	132	563	238	7145	765	2001	960	2079	16447	1856	953	1385	385	1046	170	3772	5	27	483	0	0	1215	0	408	513	20	492	0	60	580	48	2308	719	145	20	4655	57	12	285	46	17	1017	1020	553	1338	1408	1338	267	388	231	1590	461	1055	2422	1081	6704	6022	1854	5046	3734	960	370	1914	1388	1404	93	1021	233	194	655	94	503	922	355	170	330	116	225	159	173	75	71	74	14	53	0	282	39	2835	609	6965	1221	2997	214	160	43	16	229	10	12	46	99	863	469	3160	606	148	503	1797	622	8507	0	3273	574
K00004	0	2	0	0	0	5	41	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	148	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	2	27	0	8	0	0	15	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0
K00005	14	96	2	0	3	217	29	376	3	4	0	0	18	24	0	2	44	0	27	0	0	42	14	11	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	13	0	0	0	0	235	192	331	229	20	0	8	2	3	4	0	20	3	4	0	516	273	156	205	336	10	65	2	0	32	1083	0	0	12	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	72	47	87	0	2	2	4926	4	0	15	0	0	241	200	210	133	56	157	89	49	13	428	0	3	107	38	106	1637	189	723	96	2	14	134	89	341	4	21	0	0	117	2	75	0	0	0	89	165	0	308	17	57	2	4	20	12	0	5	0	65	106	1894	116	95	4	0	0	0	47	7	21	0	2	365	0	27	2	29	11	12	168	333	125	1106	12
K00006	0	0	0	0	0	0	0	0	0	0	0	0	58	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008	103	675	6	0	19	0	0	19	0	0	18	0	12	259	43	0	11	0	0	3	2	5	5	34	0	0	0	0	0	0	0	0	29	57	36	73	149	6	0	0	0	0	0	0	6	12	0	0	6	0	4	46	6	3	5	233	0	0	0	0	0	90	76	208	109	131	3	66	0	0	17	331	0	0	0	0	0	0	0	0	0	5	0	0	90	0	0	0	0	18	155	0	0	0	13	244	0	10	0	0	0	21	12	10	14	4	0	52	67	45	57	12	2	0	0	61	10	2	0	15	2	572	167	103	407	2	84	0	0	0	0	0	0	2	0	12	0	0	0	0	5	86	55	4	0	8	206	24	101	8	2	0	0	0	9	71	12	11	0	209	51	12	11	410	71	13	6	12	109	2	18	2	0	22	0	41	16	0	0	0
K00009	3158	3025	822	0	62	9	0	25	17515	4220	3	2	0	34	2	3666	200	72	185	2483	341	147	54	19	0	0	0	0	2	0	0	5	0	0	0	0	4	301	114	150	5123	1066	76	4	918	222	2	0	2	3	2	0	0	690	539	17	0	0	0	0	0	4	5	0	21	11	0	4	4	4	50	2	9156	39	30291	3352	21	0	0	448	2	3601	1140	0	0	0	0	0	0	157	54	9	0	0	0	0	0	106	183	6	0	168	0	0	14	0	0	0	2	0	17	2	4	0	0	0	14	0	11	17	8	22	4	2	2	0	0	0	0	2	2	65	2	2	0	19	989	2640	3424	3433	1044	13	0	10	149	4	4	0	2	0	0	0	0	8	21	55	206	2	50	0	0	0	0	15	5	6	63	251	344	649	8206	326	8	290	95	0	2	0	0	0
K00010	11	21	2	0	4	145	16	88	3	0	0	0	0	2	0	0	24	0	15	0	0	2	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	0	2	65	2069	0	4	12	9	0	0	0	0	2	4	0	0	38	32	9	57	5	7	423	148	0	0	2006	0	0	0	0	4	0	0	4	0	6	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	2	7	0	0	3	5	2	10	5	32	47	889	152	295	565	92	5	0	201	18	0	12	173	23	751	6899	226	15224	453	265	42	235	245	0	37	25	53	0	321	0	3	4	27	21	73	28	41	0	7	5	18	0	0	15	0	0	2	8	10	269	737	83	23	48	2	0	10	0	86	2	5	44	4	0	0	0	33	384	49	12	0	1686	0
K00011	0	2	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	22	0	0	0	0	0	0	0	0	10	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
K00012	8	24	58	0	20	1536	0	4857	101	176	0	4	27	30	2	2	56	0	256	5	0	379	85	60	0	0	0	15	0	0	2	0	0	0	0	0	74	9	3	0	0	10	0	2	61	3	30	5742	6469	37	76	53	31	2	8	38	161	210	364	472	274	4097	588	163	608	11	20	4668	805	0	1024	3182	19	4	154	178	2	1915	1028	961	2	16	553	14	4	0	0	0	227	0	635	0	2	3	8	383	7	14	17	18	7	82	23	6	524	13	70	799	1687	779	3792	8557	1292	2523	804	898	669	1353	14012	12493	22760	12664	3395	1329	15100	2773	1433	706	845	3512	6935	72	516	537	787	4012	63	89	77	64	252	311	396	821	47	81	138	325	65	114	26	318	250	79	310	176	7500	4065	580	23	60	49	0	246	8	75	6	19	63	8	36	34	109	143	1893	368	178	720	3030	4
K00013	0	17	0	0	0	0	0	4	0	0	0	0	0	13	0	0	6	0	0	0	0	4	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	4	4	0	0	2	2	0	0	0	0	0	0	0	14	0	0	0	2	2	0	0	0	2	18	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	6	0	0	0	11	0	5	0	0	0	0	0	2	2	0	0	0	0	17	0	2	0	2	57	13	6	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	2	12	4	0	7	0	0	0	0	0	0	7	0	4	0	6	3	0	0	0	0	0	0	5	2	51	2	0	0	0	4	0	0	4412	0	6	308
K00014	19	286	2	0	9	1641	163	2455	94	141	4	3	17	171	7	0	21	0	83	3	9	30	0	55	0	0	11	0	133	4	31	197	0	0	0	0	0	0	3	2	0	0	48	0	13	4	218	3677	6129	74	13	0	11	25	40	12	25	76	59	100	8	2347	1014	585	895	1824	540	1279	94	2	708	3839	155	29	2830	4	0	134	449	434	0	15	995	2	15	0	0	222	17	156	65	42	0	0	0	440	25	1468	439	85	4	1259	21	4	84	32	42	1568	1069	977	2132	1923	620	452	157	227	789	121	709	1084	978	1574	7621	2161	8124	2874	1244	255	1021	1042	1699	35	197	37	100	898	10	35	9	5	27	405	85	166	122	65	49	40	101	59	29	0	297	955	341	223	4969	5865	970	122	7	0	0	83	10	10	7	7	137	9	393	22	58	43	643	172	2363	0	2749	187
K00015	11	89	0	0	0	50	0	7	44	54	0	0	40	4	0	0	53	0	27	0	0	2	0	0	0	4	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	15	3	48	51	0	0	0	10	15	0	0	5	33	16	28	0	72	44	10	27	0	0	270	0	0	0	874	21	0	71	0	0	517	21	0	0	4	0	0	0	0	0	0	0	0	69	0	0	0	2	789	6	0	3	0	0	114	0	3	72	0	0	66	105	0	133	73	8	52	59	0	44	0	52	27	85	298	77	443	466	3	10	0	2	15	18	0	14	0	0	7	0	0	0	0	0	7	0	31	16	11	84	4	76	0	0	0	0	2	212	120	96	141	69	4	0	0	0	38	0	20	2	6	267	0	22	16	5	4	4	183	1470	0	2	139
K00016	74952	317192	22005	96	13908	50513	49998	25867	87877	144889	313	467	296	100740	311	43966	1505	1663	1682	29968	7009	72800	3470	784	1905	1767	1219	23398	98	4806	8465	7405	10380	20675	10343	18842	21153	8919	2263	1023	75403	13997	2954	3007	40112	15581	13293	9736	21028	23942	2482	62921	38274	19022	10027	51405	7447	53149	13649	2146	4405	27513	88584	70763	44365	80276	6266	4245	2778	5137	41635	11934	119479	32923	255048	64296	20463	44031	21658	53906	4817	149088	16085	18988	12630	8194	3985	14016	4390	10739	60036	827	32238	15563	26443	6368	2946	12080	3074	798	148	11048	202	1063	180	959	159	14663	13514	12463	21365	17469	4203	7530	1476	2404	17475	4621	35931	34256	19236	17149	12897	28506	22770	22761	2649	2300	12905	24628	49784	27068	3010	45669	15953	27584	6197	23445	50944	55103	19391	1509	626	1864	926	400	102741	13961	123717	22745	2591	535	2060	18407	106199	14926	36176	40581	9167	583	16340	311	2171	178807	22111	5303	1993	7498	25844	13909	253199	18901	1570	12287	7719	7813	76287	1995	28455	2384
K00018	0	45	2	0	18	764	80	2444	61	132	0	2	9	6	2	2	9	2	121	0	0	23	0	0	0	0	0	2038	0	0	2613	2	0	0	0	0	0	0	0	0	0	0	44	0	0	0	195	1381	3453	3	56	3	6	0	8	10	114	365	227	494	2	2441	773	525	1041	456	20	1140	305	192	1761	401	123	3420	53	58	411	980	922	3720	0	2	0	0	2	31	0	0	0	19	37	3	2	0	11	287	2	18	7	4	2	515	0	0	208	9	32	1237	951	1257	1821	5052	650	330	289	465	901	129	714	1266	1003	1249	6085	557	8013	1179	763	504	704	1227	1356	24	187	53	181	1761	5	30	0	0	125	351	141	460	23	93	82	46	60	50	2	36	362	82	249	196	5517	1938	489	0	7	0	10	79	7	34	0	4	36	0	25	10	5	70	898	62	1236	76	2459	176
K00019	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
K00020	4	49	0	0	7	63	2	8	4	4	0	0	0	28	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	3	43	0	8	39	87	18	16	0	0	0	2	0	8	111	50	6	0	107	14	111	54	0	0	12	23	0	340	125	0	39	56	0	0	502	76	0	0	4	0	0	0	0	0	234	0	665	70	121	0	14	0	0	8	39	108	8	0	88	2	0	6	12	0	7	62	74	47	259	20	2	32	29	51	102	89	46	39	109	37	40	116	8	0	23	38	46	10	0	0	0	0	129	0	0	0	0	2	28	0	2	33	21	0	5	0	0	0	0	644	131	3111	377	362	11	170	0	0	0	3	2	0	0	0	16	77	2	2	0	0	0	18	0	0	0	0	0
K00021	0	0	2	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
K00024	17	400	119	0	251	18993	397	40657	5697	1401	10	34	221	1148	124	8	437	6	2936	6	19	656	257	158	0	434	142	6004	4027	1850	478	1352	0	21	0	162	0	47	0	2	31	2	137	20	10	6	676	24090	27929	119	87	42	340	23	82	306	941	2595	2461	3093	293	13151	12674	714	10765	277	491	9775	2834	11459	14304	14771	1675	213	36441	1665	118	20320	20973	45050	444	16159	1308	2442	498	8	335	1734	431	753	6297	61	310	11	439	4657	53	2307	809	406	35	1691	161	47	3944	150	130	14948	15369	4059	31476	49095	12740	13403	8784	4619	9881	1199	20618	26007	35100	43983	26241	7928	15142	7126	5189	4189	14078	17233	23234	426	3785	2121	2067	19091	117	656	104	127	1152	3522	1213	6954	1665	2059	1258	1039	553	1067	204	898	8517	3451	12670	16266	81374	47237	29673	300	130	157	4	1209	78	86	10	92	821	50	622	277	954	735	10384	693	1608	2566	14078	10
K00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	1223	2735	148	0	181	1689	443	4595	681	1068	146	0	220	673	13	10	77	0	8	0	34	283	50	92	3	65	1573	0	0	0	931	0	28	106	0	0	37	0	6	0	44	5	26	9	495	213	1132	1934	4131	678	107	118	133	0	8	120	370	741	524	735	346	2231	1218	3656	1597	1699	136	1088	665	1873	826	2315	744	70	1747	801	0	574	51	8	0	6	327	1494	0	0	0	1070	97	120	296	0	142	1291	564	45	15	42	42	4	2	2989	108	523	453	1540	17	3350	1856	988	3193	2199	1349	1123	432	265	1823	798	1225	792	1196	2770	4200	3570	18733	2219	675	417	1743	889	948	52	128	95	51	1076	0	57	9	30	109	186	223	201	74	19	226	127	508	236	45	0	36	15	803	181	6546	2573	1202	187	111	22	0	557	8	47	8	9	1271	27	313	38	86	92	611	472	134	117	6377	11
K00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00029	7	112	41	79	15	1598	0	4522	245	266	0	11	30	113	0	2	8	2	559	0	0	66	9	0	0	0	0	0	0	0	26	5599	0	26	0	0	0	0	0	0	5	0	0	0	20	5	137	9302	11143	24	98	0	145	4	2	2	422	715	959	1464	123	4733	3308	70	4052	29	143	3861	775	155	3792	2877	262	3719	395	0	0	3734	342	14315	0	2	710	2	1086	5	0	1244	107	0	1466	68	17	18	0	1040	6	29	20	0	2	69	16	11	570	19	15	3145	2155	1393	4612	10815	1665	1472	727	1128	3591	311	5457	4547	6859	7101	9506	2606	17893	3081	2118	949	1387	1936	1805	214	602	291	128	4274	66	125	84	76	334	676	304	1488	141	686	275	230	111	265	90	0	2273	581	7047	969	6991	5331	860	39	23	59	52	311	23	124	14	29	152	17	71	57	114	146	2341	91	285	496	4302	0
