Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00001,Neg,-2.19547030451672,1.3715351247812915,-3.595903462540445,0.0008889832799848135,0.0024183720918997493,-3.5075661983728654,2
M00003,Neg,-2.42774489714545,3.51725043389886,-4.140732128189157,0.0005636935079151319,0.0014986137395171576,-3.9943911441204065,3
M00004,Neg,-2.51793503144601,5.15713844739923,-5.27543695898409,5.133861218760611e-07,5.0009999862148e-06,-5.021241312110719,1
M00004,Pos,2.384818517407435,8.40779664170187,7.89720726469645,8.030726243040666e-12,2.9116457229564736e-10,6.897522963543655,2
M00006,Pos,2.384818517407435,8.40779664170187,7.89720726469645,8.030726243040666e-12,2.9116457229564736e-10,6.897522963543655,2
M00007,Neg,-2.51793503144601,5.15713844739923,-5.27543695898409,5.133861218760611e-07,5.0009999862148e-06,-5.021241312110719,1
M00008,Neg,-2.5754549870951298,2.70644354743185,-4.93783341095654,2.01438103065261e-06,1.54038565203948e-05,-4.75197618507813,1
M00008,Pos,2.5028663938825297,7.66363119604715,7.54031981072845,1.41159483271975e-11,5.020874464637139e-10,6.7567108679834496,1
M00009,Neg,-2.410654211282995,4.30336426050996,-4.4873037407790655,0.00011701144139474917,0.00042557600203380346,-4.3333151306775255,6
M00009,Pos,2.1448392365557702,7.73742778125041,5.93696818803357,6.223805971016459e-08,8.55662969845065e-07,5.41224900332746,1
M00010,Neg,-2.791604513312,0.4352579725444,-4.88928657678258,2.73395247380617e-06,1.99991202659368e-05,-4.68985759857709,1
M00011,Neg,-2.3582911396977053,4.939748948465619,-4.489563906910347,9.745708346673797e-05,0.00036553974022655145,-4.336254794228079,8
M00011,Pos,2.1448392365557702,7.73742778125041,5.93696818803357,6.223805971016459e-08,8.55662969845065e-07,5.41224900332746,1
M00014,Neg,-2.50504258491174,3.94175612717239,-4.424922383784111,1.8098194690159602e-05,0.000102433139874086,-4.28714772112561,1
M00016,Neg,-2.13146569251578,3.7148382988875865,-4.254633008920783,0.000957052467599867,0.002567423232080837,-4.090995243772953,3
M00016,Pos,2.71185768278795,6.17938582258785,7.363256517819821,9.19397645547995e-12,3.3627402564052597e-10,6.81858782431194,1
M00017,Neg,-2.18363988244007,4.284142265498635,-4.74263710967179,0.0007758349494339856,0.0020574276066265404,-4.530639231731345,2
M00017,Pos,2.04658783402031,-1.79169189269296,3.97994198616195,0.000104630027310482,0.00045784493891957,3.8795961714625196,1
M00018,Neg,-2.18363988244007,4.284142265498635,-4.74263710967179,0.0007758349494339856,0.0020574276066265404,-4.530639231731345,2
M00020,Neg,-2.294857091002915,7.991304360054856,-5.91970610021792,7.888706379580645e-07,6.441342915866581e-06,-5.552382818482364,2
M00022,Neg,-2.46893862376575,2.5948514609007565,-4.64921302609945,6.153231672426848e-05,0.0002506477211630718,-4.429974649676996,3
M00022,Pos,2.77643499117467,1.42571662556565,4.90035402456279,2.29153073035299e-06,1.71780897606193e-05,4.72585149903836,1
M00023,Neg,-3.06681030406799,0.9449607407103291,-5.193354417600509,7.051067688719141e-07,6.46264525512154e-06,-4.959951788857969,1
M00024,Neg,-3.1732601402103104,1.3515389861673701,-5.7177204203363505,6.06968776493512e-08,8.37444109062401e-07,-5.41673594401749,1
M00025,Neg,-3.1732601402103104,1.3515389861673701,-5.7177204203363505,6.06968776493512e-08,8.37444109062401e-07,-5.41673594401749,1
M00026,Pos,2.136796774570965,-1.10264892789529,3.6394324137522,0.0005221649204605195,0.0016375450940217771,3.5437972587802546,2
M00027,Neg,-2.00459346544289,-0.617539124000625,-3.3333986397686703,0.00111977717675859,0.00316426830487833,-3.25856374165847,1
M00028,Neg,-2.34028986003944,2.22486633342836,-3.1685248232290952,0.00191877536736727,0.0048362606514247945,-3.11044413489272,2
M00029,Neg,-2.174563796882295,6.154246304760555,-4.861237124714365,6.445046155293447e-05,0.00027215283613897973,-4.63726363354653,2
M00030,Neg,-2.55905327324144,3.79564651410357,-4.66263473593033,6.69266876188195e-06,4.2959398658636294e-05,-4.5032353793704,1
M00032,Neg,-2.55905327324144,3.79564651410357,-4.66263473593033,6.69266876188195e-06,4.2959398658636294e-05,-4.5032353793704,1
M00033,Neg,-2.28407574641553,6.47935094894307,-6.250798617647639,3.714380811488979e-09,7.42301773512515e-08,-5.8964353988036,1
M00034,Neg,-2.59154018070609,1.2357322351132505,-4.9232611878350125,3.128177963478287e-05,0.00014380644776118117,-4.704697434497187,3
M00034,Pos,2.4098146241021,7.557545205870089,7.94256770284242,2.82508959108222e-13,1.44116741376655e-11,7.30248112121299,1
M00045,Neg,-2.076784717821505,3.702218897897815,-3.49090241375127,0.0007394007538844295,0.002220625845277285,-3.41695534213624,2
M00047,Neg,-2.00997164712322,0.890845908200593,-2.73779534083884,0.00723465291273255,0.0138103147920552,-2.6858455208807896,1
M00048,Neg,-2.460982372198233,2.9264428040065193,-4.970727879742243,3.9719322215921076e-05,0.0001730897931359173,-4.7282806526779835,3
M00051,Neg,-2.67617237901345,2.23764239515842,-4.5885299115267095,9.38625814467655e-06,5.703843703277579e-05,-4.43084950509509,1
M00060,Neg,-2.4421612450712997,3.25803550232107,-4.420599288701352,8.952757991405608e-05,0.000375240428514647,-4.25442972102349,6
M00063,Neg,-2.472380410016935,1.78965268721256,-4.3727383495884204,0.00011251935457535443,0.00043701908875394915,-4.22235133729115,2
M00076,Neg,-3.025448810668845,2.863692405697775,-5.121158692742015,8.666763356855457e-06,4.96154669480826e-05,-4.87875209057686,2
M00077,Neg,-3.025448810668845,2.863692405697775,-5.121158692742015,8.666763356855457e-06,4.96154669480826e-05,-4.87875209057686,2
M00078,Neg,-2.78986428130324,2.8633233001644,-4.48225489339658,1.72859571367935e-05,9.85553762049241e-05,-4.29734048395347,1
M00079,Neg,-2.24976216165229,5.57239480307921,-4.87737744174893,2.5508029475945e-06,1.89091071277703e-05,-4.70402635809424,1
M00080,Neg,-2.16374334941352,2.81037222655339,-3.78602014149746,0.000215221248606121,0.000836084950747426,-3.70044556001441,1
M00082,Neg,-3.3994456790573104,3.22613246272318,-5.956653399333611,1.61097644891747e-08,2.61328690060797e-07,-5.64930517569916,1
M00083,Neg,-2.7844940320461005,4.123993035153395,-5.242644493424926,6.750494781676238e-06,3.979749209934975e-05,-5.000695218381425,2
M00086,Neg,-2.24182345336096,7.91221666342667,-6.194230830029969,1.0172605179186401e-08,1.72978904735551e-07,-5.72782562056932,1
M00093,Neg,-2.519159152000775,3.38512226414456,-4.33836195775419,0.00032507509986342273,0.0010249847143393585,-4.192802363300545,2
M00095,Pos,2.4410029197957,5.421861717170861,4.79208920376771,4.54955873947814e-06,3.12741830371574e-05,4.584554287996911,1
M00096,Neg,-2.323606447127227,4.55209340763574,-4.989471673989773,3.266788628894855e-05,0.00014681053759420717,-4.760126447177597,3
M00114,Neg,-2.8143852623546466,4.580901856411335,-6.045094015101583,1.7617242392469577e-06,1.1747900382929755e-05,-5.645840912563844,3
M00115,Neg,-2.488585148049185,4.27485553891428,-4.85210573554797,2.454864889388071e-05,0.0001222067180236504,-4.663145624123075,2
M00115,Pos,4.40880361052972,7.153081718336849,10.640889876991,3.52203713245281e-18,7.58607664584419e-16,8.69325401925724,1
M00116,Neg,-2.4110798540926037,2.150983183784912,-4.373056151108214,0.00016076215741407898,0.0005221537445170153,-4.222935999543075,5
M00117,Neg,-2.18937202193866,3.96558206447729,-4.53121564472108,1.1331259347484801e-05,6.77952044601832e-05,-4.39007304082769,1
M00117,Pos,5.073202321645191,1.4523411298105002,9.025777808811778,6.78541541244091e-16,5.5972458625603e-14,8.07431920928337,1
M00119,Neg,-2.54920432850718,2.9534444379635265,-4.87282220783569,7.102326921104404e-05,0.00028059916339602244,-4.620069225654537,3
M00120,Neg,-2.53521432582156,1.9801093610925435,-4.714331644256335,3.141386013812086e-05,0.0001516393358564182,-4.534732700872739,2
M00120,Pos,3.99712059722544,6.75534200698614,11.060452682555402,1.53141352217306e-21,2.9686451127324798e-18,9.53277003545569,1
M00121,Neg,-2.70488692435646,4.2332849515323865,-5.01198059928326,6.851142386638354e-06,4.016797060613246e-05,-4.778137656765397,3
M00121,Pos,3.11401302792212,2.58011832814129,5.38996854645675,2.80375451560496e-07,3.04486169663878e-06,5.13618246436792,1
M00122,Neg,-2.6165307369692203,3.6119532647987795,-4.631559974047669,8.09951093368916e-06,5.0082621833991796e-05,-4.46253654511893,1
M00123,Neg,-2.737068641883625,4.06024292607713,-5.1854108426641705,6.908233975376186e-07,6.383507412867675e-06,-4.964631831153725,2
M00124,Neg,-2.4157037787883047,5.0748836147738405,-4.7045168403143744,1.2438453160464442e-05,7.023143687125328e-05,-4.51591844258944,2
M00125,Neg,-2.58556559870886,3.058402994287366,-4.607194476041984,2.266419948754724e-05,0.00011711282272043686,-4.446234323742485,2
M00127,Neg,-2.86573377800753,3.57097590595618,-5.21252442771249,5.89950932173847e-07,5.63359547792612e-06,-4.994478073989111,1
M00129,Neg,-2.64745343310749,3.402539713668395,-4.453588638590345,1.769207591347655e-05,0.00010049425803950505,-4.29224410253954,2
M00130,Neg,-3.06649050856754,2.01145110870828,-5.23282731288381,6.02171340789065e-07,5.66662801709898e-06,-4.99051945775614,1
M00133,Neg,-3.3955558702098503,3.40064221220788,-6.03157364845469,1.28626915673226e-08,2.1495110002806e-07,-5.68787898627242,1
