Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00003,Neg,-2.257616952,4.183127859,-3.228717066,0.002034889,0.01060385,-3.085092452,1
M00003,Pos,2.234920099,11.42455025,7.116812372999999,2.9499999999999996e-10,1.3e-08,6.3014112970000005,1
M00004,Neg,-2.518957042333333,5.208566343,-4.354669052,0.00020722,0.0014841573333333332,-4.083129951,3
M00006,Neg,-2.549519649,1.6472412980000002,-3.6434683839999997,0.00038308900000000003,0.002661713,-3.551467693,1
M00007,Neg,-2.503675739,6.989228865499999,-4.710269386,0.0001192855,0.0008953794999999999,-4.3489610800000005,2
M00008,Neg,-2.549519649,1.6472412980000002,-3.6434683839999997,0.00038308900000000003,0.002661713,-3.551467693,1
M00009,Neg,-2.29801139,4.945856779166667,-3.4166811816666667,0.0026639411666666674,0.012385025999999999,-3.2525780196666667,6
M00009,Pos,3.5019002489999997,7.212122919,6.737834607999999,1.6699999999999998e-09,6e-08,6.0268240220000004,1
M00010,Neg,-2.006582481,2.196410415,-2.8377667619999998,0.005190135,0.023075863999999998,-2.79498982,1
M00011,Neg,-2.349961883428572,5.062925667142857,-3.468320671,0.002075091571428572,0.010036354,-3.3028972331428577,7
M00011,Pos,3.5019002489999997,7.212122919,6.737834607999999,1.6699999999999998e-09,6e-08,6.0268240220000004,1
M00012,Neg,-2.006582481,2.196410415,-2.8377667619999998,0.005190135,0.023075863999999998,-2.79498982,1
M00015,Neg,-2.7393519384999996,2.8981800545,-4.3799498055,7.612850000000001e-05,0.0006287855,-4.2225873035,2
M00016,Pos,3.364278262,4.113554937,5.465448735,2.22e-07,4.35e-06,5.179653633,1
M00017,Neg,-2.934995608,2.4364192769999997,-4.180935228,5.22e-05,0.000500052,-4.045728326,1
M00019,Neg,-3.189831202,3.47044878025,-4.86327332225,4.0524650000000005e-05,0.000366751,-4.463600304250001,4
M00020,Neg,-2.636924709,3.514482028,-4.227523798,4.77e-05,0.00046113199999999995,-4.066643637,1
M00021,Neg,-2.9859356504999996,3.152527795,-4.581274215500001,3.2829999999999996e-05,0.00030808699999999997,-4.364239568,2
M00022,Neg,-2.977907019,2.7852133438,-4.476118195,0.00014805838,0.0010731332,-4.2708665340000005,5
M00023,Neg,-2.7846858164999997,0.7481955165,-4.136506714,0.00015725350000000003,0.0011650075,-3.9941339805,2
M00024,Neg,-2.1438838340000004,1.3391574685,-3.1642668815,0.0019224199999999998,0.010162508,-3.102075687,2
M00025,Neg,-2.320314637,2.032201447,-3.4782845819999997,0.0011153729999999998,0.006114879,-3.3763894569999997,2
M00026,Neg,-2.703295539,4.328072928,-4.034710668,0.00010227299999999999,0.0008753060000000001,-3.885134465,1
M00027,Pos,4.460645694,3.8539497839999997,7.407269089,3.7299999999999997e-11,2.1899999999999997e-09,6.614353232000001,1
M00029,Neg,-3.0411884785000005,3.7226609035,-4.5145558115,5.6154e-05,0.000482598,-4.2972110820000005,2
M00034,Neg,-2.4263752553333338,2.36184501,-3.5698804049999997,0.001004013,0.005585293666666667,-3.4742834956666666,3
M00035,Neg,-3.839625078,7.0100295710000005,-7.058790338,4.26e-09,1.35e-07,-5.873935935,1
M00036,Neg,-2.5487892070000004,6.514079106,-4.4809241865,5.895000000000001e-05,0.0005504570000000001,-4.018751507,2
M00040,Neg,-2.244973813,2.419872372,-3.156671082,0.00197777,0.010354449,-3.0935503669999997,1
M00048,Neg,-2.7099676939999995,4.822407953000001,-4.649343952375,8.01295e-05,0.0006233825000000001,-4.274701742874999,8
M00051,Neg,-2.152978425,6.184023938999999,-5.015456137,4.15e-06,5.79e-05,-4.603606806,1
M00053,Neg,-3.2228509310000004,1.762743186,-5.202979522,8.39e-07,1.4000000000000001e-05,-4.926150586,1
M00060,Neg,-3.425845643,4.1851149156666665,-5.200846798666666,4.636166666666667e-06,5.980699999999999e-05,-4.847476033,3
M00063,Neg,-2.084425482,1.904610317,-3.162160493,0.0019726789999999998,0.010354449,-3.0943151010000003,1
M00064,Neg,-2.396338037,1.5535839809999998,-3.9187974089999997,0.000138418,0.001136963,-3.81097819,1
M00082,Neg,-2.618836267,3.982748396,-3.3581781829999997,0.001117477,0.006513056,-3.2593106689999995,2
M00083,Neg,-2.618836267,3.982748396,-3.3581781829999997,0.001117477,0.006513056,-3.2593106689999995,2
M00086,Neg,-2.174275204,7.912216663,-4.038390381,0.000300502,0.0021776589999999998,-3.614866549,1
M00093,Neg,-2.467630932,2.656228633,-3.604024892,0.000487835,0.003238591,-3.487348523,1
M00096,Neg,-2.468855623714286,3.8458340672857143,-4.051229161142857,0.0003960111428571429,0.002543678714285714,-3.822009472428572,7
M00097,Pos,6.500357113,-0.123483024,9.521060235,1.8300000000000002e-16,4.74e-14,8.232562339,1
M00114,Neg,-2.130828283,4.8222161230000005,-3.091598832,0.002818266,0.013936758,-2.986894869,1
M00115,Neg,-2.6114396983333332,3.976209190666667,-3.9120030729999997,0.0005398523333333334,0.0031274489999999996,-3.7457484493333335,3
M00116,Neg,-2.6569993640000003,2.570063532,-3.9798919839999995,0.000115745,0.00097131,-3.854966615,1
M00116,Pos,2.099582331,3.965582064,3.538150512,0.000564658,0.0036669690000000004,3.44804573,1
M00117,Neg,-5.335599595,1.45234113,-8.518312615,2.29e-14,3.7e-12,-7.633014177000001,1
M00117,Pos,2.099582331,3.965582064,3.538150512,0.000564658,0.0036669690000000004,3.44804573,1
M00119,Neg,-2.3909979865000004,3.6855971629999997,-3.7911801275,0.0007077557500000001,0.00410868925,-3.5518572155,4
M00120,Neg,-2.663148952,4.8663185445,-5.186537133,9.245e-07,1.4645e-05,-4.972039044,2
M00121,Neg,-3.26158026075,4.30095438375,-5.53953231675,6.44065015025e-05,0.000487299856,-5.06362747625,4
M00122,Neg,-2.481145025,2.428220692,-3.7780615010000003,0.00022946299999999998,0.0017274360000000002,-3.684154178,1
M00123,Neg,-2.695157182,1.929554861,-4.039642667,9.690000000000001e-05,0.000834432,-3.89834637,1
M00124,Neg,-2.203858805,2.7125763839999997,-3.1259416339999997,0.002329722,0.01189681,-3.0446229789999997,1
M00125,Pos,2.9435817539999998,5.519703244666666,5.118913354,8.33478e-06,9.666833333333332e-05,4.882561541,3
M00126,Neg,-4.39511891325,4.549367239,-8.40454502175,1.020053225e-08,2.488002e-07,-6.82654404825,4
M00127,Neg,-3.3275995895,4.3761217325,-4.7759988535,1.5199999999999998e-05,0.000161684,-4.5173549015,2
M00127,Pos,2.264991094,6.27628072,4.547613047,1.51e-05,0.00017151400000000003,4.327437589,1
M00131,Neg,-2.9085961489999996,3.2920443789999996,-4.537216086,2.07e-05,0.00022458,-4.257423395,1
M00133,Neg,-2.8374743330000003,1.4455776480000002,-4.173260003,5.5100000000000004e-05,0.0005249019999999999,-4.032855474,1
M00135,Neg,-2.32297572,5.400570172,-3.5088009889999996,0.0006796110000000001,0.004242915,-3.3976752130000003,1
M00140,Pos,2.3417854080000002,8.611944224,5.868168684,4.6200000000000003e-08,1.11e-06,5.465163398,1
M00141,Pos,2.3417854080000002,8.611944224,5.868168684,4.6200000000000003e-08,1.11e-06,5.465163398,1
M00144,Neg,-2.3522730305,3.89829113,-3.4396866590000004,0.00340577,0.014703346499999999,-3.3310785695000003,2
M00149,Neg,-2.789694934,5.82413606,-4.020293188999999,0.000159083,0.001271679,-3.776444715,1
M00151,Neg,-2.7168623939999996,-0.705576518,-3.842106883,0.000197359,0.001529525,-3.722373466,1
M00153,Pos,2.2879934685,7.5907766225,4.777235471,7.175e-06,9.13385e-05,4.494576785,2
