Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00001,Neg,-3.237828364981495,1.3715351247812915,-4.4789168874586345,8.304549239075054e-05,0.00023425589633688452,-4.2540089529133756,2
M00001,Pos,2.58986726226438,12.646709362387151,11.211314708708453,8.24010438233628e-16,3.724157841880592e-14,8.940504128924744,2
M00002,Pos,2.02043730246824,12.9466116265679,9.39248447395021,1.6480208408891099e-15,7.44831371324015e-14,7.96531600233539,1
M00003,Neg,-3.8876517830104502,2.8966312185402874,-5.417189904073678,0.000700773598584812,0.0016375271379972325,-4.8895327052966895,4
M00004,Neg,-3.5337608879251325,5.60656799297961,-6.307042184028058,6.8745832826965e-06,2.2576667211954684e-05,-5.580586512796895,4
M00004,Pos,3.15660644784265,7.92037617145564,9.667222278201812,3.6841813411962927e-10,3.0833896993289997e-09,7.5730665922084475,3
M00005,Pos,2.10146143905222,11.0990108140405,10.1002930631258,3.07746864446174e-18,3.50921939252299e-16,8.70856462475508,1
M00006,Neg,-3.13727375141594,1.6472412975701398,-4.38019242317183,2.5169421299635802e-05,8.14539619187713e-05,-4.2132750835498305,1
M00006,Pos,3.459334017105315,8.40779664170187,11.120097790631615,4.780058617188868e-12,7.689745752911991e-11,8.312196289301166,2
M00007,Neg,-3.66592326676153,6.926343558116099,-6.949325437646801,7.763039437167335e-07,2.9509023096824784e-06,-6.036356989212583,3
M00007,Pos,2.5511513093173197,6.94553523096318,6.76147125334221,1.09569428512451e-09,9.09637418292876e-09,6.094807198023009,1
M00008,Neg,-2.80363865142602,2.176842422500995,-4.145705188991805,9.22887758099739e-05,0.00026513704677341916,-3.9946053780631754,2
M00008,Pos,2.9616891901306004,7.66363119604715,7.9693398031231295,9.56011723427719e-12,1.53794915009513e-10,6.8129743800861,1
M00009,Neg,-4.060993670810372,5.351551409721199,-6.4269861075811665,2.673218490258094e-07,1.0884379777489559e-06,-5.670460681879437,9
M00009,Pos,3.8775406839938302,7.73742778125041,10.171475730474599,8.779426108589849e-16,4.25472937787535e-14,8.042819975200889,1
M00010,Neg,-3.3386881512927205,0.4352579725444,-4.98062575827783,2.02169777315949e-06,7.82247731191553e-06,-4.75124321990406,1
M00011,Neg,-4.207560200979414,5.198046775921551,-6.631250392061289,3.8553724090992634e-08,1.997404425668529e-07,-5.8533454260195406,12
M00011,Pos,3.8775406839938302,7.73742778125041,10.171475730474599,8.779426108589849e-16,4.25472937787535e-14,8.042819975200889,1
M00012,Neg,-3.09334274315324,7.378641265037969,-5.66204975364176,1.5867423875915502e-07,7.796958474895351e-07,-5.24219884330795,1
M00014,Neg,-3.29801661297001,2.76264531353951,-4.8790356991492105,3.0953040124356894e-05,9.426986856679856e-05,-4.62459965035589,2
M00015,Neg,-3.0349260277900405,3.1213083072720234,-4.567784781005304,0.000333349505146471,0.0008311339473196232,-4.380743037733967,3
M00016,Neg,-3.5243757691911735,3.7148382988875865,-5.56525068252408,1.137671668763546e-06,4.424252908704538e-06,-5.129796808345504,3
M00017,Neg,-3.508740911994,3.66823460256276,-5.56629594397955,8.77032819386983e-07,3.512443442271218e-06,-5.15668068972355,3
M00018,Neg,-3.4699780186454703,4.284142265498635,-5.8318787168422155,5.194862314781194e-07,2.1289538290178923e-06,-5.33536565945396,2
M00019,Neg,-3.899845897299224,2.7452591655198075,-6.264722549539144,0.0001650615506442351,0.0004193985897722569,-5.267914245283638,5
M00020,Neg,-3.3591613311980866,6.49903024951274,-6.020635318816875,1.7943615445107355e-07,8.346538199888885e-07,-5.458765948053589,3
M00021,Neg,-4.80419361009279,3.152527794979645,-7.512332787969946,3.228104168835631e-11,4.1450568856288347e-10,-6.71331470758607,2
M00022,Neg,-3.8689724724020613,2.9845666870338934,-6.101561193424952,4.572177772253823e-05,0.00012463818919426463,-5.471382267836697,8
M00023,Neg,-3.192412918173986,0.8110953972727559,-4.819597947731352,0.00010440881887677786,0.0002716862790420798,-4.577234412218037,6
