UID,SID,CST,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
AYAC02_W5D6,AYAC02,I,3.1877691,0.835690571,0.53529412,-0.15739076,-1.370590401,1.648360011,1.093421685,2.835259233,1.788875116
AYAC02_W7D5,AYAC02,I,3.137980411,2.96928402,-2,2.487101593,-2,2.368746046,2.552819037,3.116722611,1.699837726
AYAC03_W4D7,AYAC03,I,3.326590627,2.29408026,0.929418926,-2,-2,-2,-1.196542884,2.281210687,2.196477405
AYAC03_W7D5,AYAC03,I,2.955726224,3.051094613,1.756636108,1.322219295,-0.279014256,0.804139432,2.142345659,2.401041927,2.439747839
AYAC03_W8D6,AYAC03,I,3.5211666,2.090148672,0.344392274,0.257678575,-2,2.006692758,1.6599162,2.90134551,2.594359397
AYAC09_W1D7,AYAC09,I,3.330045888,0.152288344,-0.22475374,-1,-1.15864053,1.943494516,1.64738297,3.084978931,0.149219113
AYAC09_W3D4,AYAC09,I,3.104776544,2.362559751,1.966141733,1.725094521,1.372912003,1.482873584,1.947433722,2.732158051,1.980003372
AYAC09_W5D7,AYAC09,I,3.304696855,0.328379603,-0.073143291,-2,-1.019088062,1.507855872,1.456366033,3.008252171,0.411619706
AYAC09_W7D4,AYAC09,I,2.61616767,2.816768763,1.556302501,1.86332286,0.269512944,0.46686762,1.966610987,2.728141047,2.820615845
AYAC09_W9D7,AYAC09,I,3.282877811,-0.705533774,-0.118615343,-0.696803943,-0.452225295,2.06869039,1.639486489,2.959297121,0.146128036
AYAC10_W1D7,AYAC10,I,3.122345328,1.008600172,0.480006943,0.068185862,-0.312471039,1.604226053,1.086359831,2.960429867,1.390935107
AYAC10_W5D4,AYAC10,I,3.407592792,1.711807229,1.149219113,0.788875116,-2,1.021189299,1.809559715,2.711247767,2.51162538
AYAC10_W8D1,AYAC10,I,3.254945455,2.302809125,2.403822035,1.969881644,2.144446547,0.950364854,2.303403432,2.00869809,2.295237131
AYAC10_W9D5,AYAC10,I,3.362996764,2.44683374,-2,-2,-2,-0.386158178,-2,2.356012465,2.666428117
EM09_W2D3,EM09,I,3.486375498,2.394653021,-1.222573178,-2,-0.145086978,-0.756961951,1.491361694,0.149219113,3.667888337
EM09_W4D4,EM09,I,2.634408745,3.013391756,-2,-2,-2,3.059594086,0.217483944,2.873071116,2.641496915
EM09_W6D7,EM09,I,3.180130178,-0.145693958,-2,-2,-0.060480747,-0.705533774,0.693726949,2.49933098,3.333728316
EM09_W9D6,EM09,I,3.396897146,2.123417129,-0.37161107,-2,-2,1.983175072,1.960946196,3.25227229,3.041717495
EM11_W1D7,EM11,I,2.980469249,-0.230622674,-0.869666232,-2,-2,1.418301291,1.340444115,2.806723859,0.846955325
EM11_W3D6,EM11,I,2.780461333,-2,-2,-2,-2,1.245512668,0.745074792,2.349710634,1.419955748
EM11_W5D7,EM11,I,3.582254092,-0.177831921,-2,-2,-2,1.844477176,1.701567985,3.009642079,1.004321374
EM11_W7D7,EM11,I,3.240955149,-0.156767222,-2,-0.283996656,-2,1.617000341,1.267171728,2.869462891,0.964730921
EM11_W9D7,EM11,I,3.066076834,-0.68613278,-0.103473783,-0.05207638,-0.399027104,1.936010796,1.593286067,2.848104098,-2
UAB002_W1D4,UAB002,I,3.50206123,2.479084166,0.350248018,-2,-0.13667714,1.57634135,1.959518377,2.672666688,2.35434858
UAB002_W5D7,UAB002,I,3.008675954,0.564666064,0.113943352,-0.13667714,0.481442629,1.661812686,1.893761762,2.79467692,0.401400541
UAB002_W7D7,UAB002,I,3.542162529,0.068185862,-0.234331445,-0.465973894,-0.145086978,1.509202522,2.059347542,2.891268658,0.056904851
UAB002_W9D7,UAB002,I,3.516964036,-0.107348966,-0.508638306,-2,-2,1.640481437,2.279452481,2.613690691,0.093421685
UAB010_W3D1,UAB010,I,3.713698988,-0.321481621,-0.876148359,-0.728158393,-2,-2,1.380211242,2.700714964,0.986771734
UAB010_W5D6,UAB010,I,3.261692667,1.103803721,0.354108439,-2,-0.931814138,0.068185862,1.664641976,2.520779512,1.624282096
UAB028_W1D7,UAB028,I,3.658066181,2.383522747,-0.772113295,-1.463441557,-2,0.064457989,2.323703697,2.662268503,2.177773061
UAB028_W9D7,UAB028,I,3.60361015,2.528047242,-0.787812396,-2,1.068185862,-2,1.997823081,2.573654716,2.229551304
UAB038_W2D2,UAB038,I,3.541195198,1.457881897,-0.659555885,-2,0.808885867,-2,2.018192693,2.693086464,2.597845408
UAB093_W1D7,UAB093,I,3.572163846,1.599883072,0.670245853,-0.178486472,-0.586700236,-0.511449283,1.584331224,2.673688893,2.287951692
UAB093_W4D2,UAB093,I,3.444264543,1.606381365,0.773786445,0.588831726,-0.928117993,0.130333768,1.51054501,2.803356042,2.433837012
UAB093_W5D7,UAB093,I,3.424319466,0.836956737,-0.119186408,0.615950052,-2,-1.248720896,1.336459734,2.804603477,1.575187845
UAB093_W7D7,UAB093,I,3.417344791,1.181843588,0.190331698,-0.130181792,-2,-1.093664958,1.494154594,2.491582988,1.444044796
UAB093_W9D6,UAB093,I,3.022469613,2.210783873,0.954242509,0.949390007,-0.019542108,0.683047038,1.767897616,2.549065825,2.614217836
UAB119_W1D7,UAB119,I,3.348034075,2.22876212,1.064457989,-2,-2,0.835690571,1.456366033,2.270217517,2.863211595
UAB119_W3D7,UAB119,I,3.02444667,1.419955748,1.190331698,0.264817823,0.580924976,1.485721426,1.292256071,2.538349994,1.913283902
UAB119_W5D7,UAB119,I,3.418624571,1.828015064,1.133538908,1.11058971,0.389166084,1.127104798,1.663700925,2.719036132,2.784223468
