VOG,AYAC02_W3D1,AYAC03_W1D7,AYAC03_W7D5,AYAC05_W7D7,EM09_W2D3,EM09_W8D5,UAB006_W7D7,UAB006_W9D7,UAB015_W1D5,UAB015_W3D1,UAB015_W9D4,UAB015_W10D7,UAB022_W2D1,UAB022_W4D1,UAB022_W6D1,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB028_W9D7,UAB035_W5D7,UAB035_W9D7,UAB039_W1D7,UAB039_W5D7,UAB039_W7D7,UAB048_W1D7,UAB048_W3D7,UAB048_W9D7,UAB060_W1D6,UAB060_W3D7,UAB060_W5D7,UAB060_W7D7,UAB071_W3D7,UAB071_W7D7,UAB071_W10D2,UAB077_W1D7,UAB077_W3D1,UAB077_W5D7,UAB077_W8D2,UAB077_W9D7,UAB079_W2D2,UAB079_W3D7,UAB079_W6D7,UAB079_W10D1,UAB082_W2D5,UAB082_W3D7,UAB082_W5D7,UAB082_W10D2,UAB088_W2D1,UAB088_W7D6,UAB110_W1D7,UAB110_W6D2,UAB110_W7D7,UAB116_W1D7,UAB116_W6D7,UAB117_W9D6,UAB122_W9D6,UAB129_W5D7
1009,130.3047282,280.1858674,179.4973651,42.53314437,5.664187997,36.97723019,354.3604219,167.2183146,802.1027459,639.5781578,324.0490309,541.9683913,1.403849945,251.236781,528.1601796,138.7694463,107.459277,138.4542483,269.1865395,73.88355467,461.5523998,0,81.55051652,210.9975123,919.2293737,254.9405276,272.8399768,185.0132834,179.0765114,77.26554875,313.3671,141.3201422,236.9317034,117.5720755,166.2166426,319.0477171,171.3215183,203.9626183,287.272496,274.6462347,230.9014363,119.2650766,232.9606801,207.578893,193.3901658,290.2418464,210.6624517,275.5967559,336.7508112,124.4276182,273.4524787,96.28993838,40.51011982,289.8532667,495.9012314,165.6154242,132.4990467,0
10155,484.4913242,393.7296323,527.7573053,122.738779,0,35.7499868,254.7063985,484.7006443,715.1591685,541.2803611,719.754223,699.4758218,1040.615241,507.9917504,11.73814404,209.8246119,7.278341599,268.0916699,275.6822516,0,0,0,454.8741259,99.75538051,1454.552911,276.3286007,262.6372893,361.4551747,226.3988567,322.4199429,649.4815549,495.2774199,95.70811933,145.5899618,114.1931989,244.717356,323.7042905,167.5928744,247.3399011,224.946462,245.7477716,396.1434832,559.0507952,324.6209476,401.0611029,279.3396795,132.9280908,236.0895009,790.7450172,359.5166248,239.3382467,97.00678433,78.18508928,222.6081826,353.8448312,88.707357,62.76765023,839.619794
10279,66.97587447,7.397833773,11.91020831,0,1.637750422,0,0,21.28506718,5.18000024,112.3825291,87.7109546,20.18870182,0,74.9254569,0,0,0,0.084742213,0,0,2.725106868,0,0,0,141.4606528,11.26886012,15.8420158,10.02480025,2.634070798,5.931644164,6.076965428,28.54048763,177.864622,56.99554064,58.23036572,534.1875284,56.82549424,182.9790805,171.6812838,143.4807476,25.37625782,38.7302151,34.67225607,6.02670764,1.492202683,106.5388356,55.24749257,62.40397008,0,35.08582345,34.44769853,1.439763692,0,48.67274308,3.994975364,28.92475309,0,303.7728456
10311,0,1.85986137,0,5.757986344,0,0,2.620006159,0,61.53871594,84.06110852,60.417782,19.72102636,0,5.909354217,0,4.538526088,0,4.554508758,3.443255798,8.296501305,3.984841357,1.168641963,0,0,37.13660605,1.945090862,1.98581657,4.516061275,0,0,0,2.378119255,0,0,3.238993067,19.18218852,13.51848915,0,3.366323818,5.295120286,27.83328578,0,2.656606878,4.81454857,3.188068706,0,1.923696068,0,124.4177206,0,0,0,0,1.429636072,0,0,0,16.4685249
10314,35.44771364,0.83949039,0.925510324,6.782040714,0,0,0,0,7.052091916,29.41903786,25.43981128,6.449182698,0,0,0,0,0,0,0,0,0,0.081361149,190.178681,8.036460066,1.459593566,33.27194791,30.95314842,45.76326597,0.784616834,1.601619295,7.040451247,0.503063689,0,39.72396478,9.095924343,0,54.01961021,7.812643109,132.7680101,6.086892759,1.390127901,15.12121976,1.255988925,0.678105432,5.79577843,6.221968801,0.722514955,2.491682666,25.64422114,0.680728722,71.01207214,15.77189807,16.01305246,0,0.245013659,11.43540663,0,0
10333,0,0.651198145,0.610958738,0.935592619,0,0,0,0,1.460354217,1.180111617,0,0.151927797,0,0,0,69.8553192,151.2062622,78.95405612,56.25673654,10.76933032,0,20.14367949,0,0,1.93370691,35.10018342,43.37546509,14.01290305,0,0.267474671,0.159208807,0.55510476,37.0042084,77.78350125,33.45918921,1266.399069,473.4769768,1041.011087,279.0165194,737.8191272,65.64571503,31.52856566,82.82702875,48.24951927,5.370943815,181.7388583,286.5726472,192.9207458,6.334926973,12.31186501,8.978037842,0,0,0.044373167,3.525375353,181.1915769,115.6266182,2.709131712
10395,0.635485273,0.160742793,0,0.532250839,0,0,0,0,4.807323297,5.007600403,0.270567765,0,0,0,0,0,0,0,0,1.073664875,0,1.554588427,1.652435295,0.912383137,0,0,0,0.095532065,0.650770433,0,0.353068942,0,19.22617582,10.458551,23.62287465,0,0.583150512,0.373875252,7.407455405,9.386827612,0.516300411,1.214502653,0,0,0,36.08187136,4.490485642,17.80339572,26.11023827,4.185280352,4.741842926,2.368187719,0,0.094238183,0.107859326,0.796368079,0,0
10526,114.3321118,94.81270009,176.3927331,79.82512108,0,487.5711851,187.5126492,150.7719758,138.6261448,278.3391499,411.5487494,217.6923883,13.20663674,34.8712795,0,18.71144044,7.957328559,112.4362704,0,127.1711289,0,315.4489537,201.8046212,9.98434777,211.5312617,102.1321109,95.96171992,139.1988805,216.5083599,93.73049436,188.7636479,85.90220202,292.9713718,245.0645993,133.226392,317.0224844,190.0059395,113.5606789,167.0749583,136.0650259,110.9706826,86.66745708,68.00743064,185.5521488,109.8633567,73.54097495,38.90257822,79.58294863,159.9044328,104.6669418,223.2352309,62.8027263,33.89407805,216.4194938,86.46980754,88.20515943,245.612214,481.6302285
10616,0.181628272,0,0,0.91452464,0,0,0,0.839326622,24.40023534,25.61939204,0.580395035,0,0,0,0,2.604555683,0,7.62792439,1.275071322,0.613522855,0,9.138648068,0.235149982,0.173115707,2.297389525,1.694825218,1.473587105,0.628497187,0,0.509971298,0.201685887,0.087960026,265.6699677,155.1999814,71.43903017,0.53445814,1.28015323,2.274484395,0,0.773013007,0.296124579,0.348641424,0.123331584,0,0,101.1013389,16.83416245,31.75879318,13.84655992,2.494130358,8.389225327,9.139422275,0.645747696,0,0,0.454914561,10.92410927,5.806242504
10897,323.8070793,32.17260192,2.937002522,133.5348676,43.10321372,456.4942942,1.291221673,5.344615326,35.18965552,83.30380123,62.5291561,134.9017162,0,0,0,0,0,0,0,0,0,0,153.8821485,443.8686735,57.15883741,960.327611,1327.667847,608.7986315,8.178364979,3.388372002,26.62253713,2.812829227,0,52.42061979,12.21152628,35.45095324,182.5480569,30.54068335,393.6879508,275.7182871,22.41465493,8.325219801,9.230280619,7.118284176,11.69282203,47.5599524,2.654562674,14.41336004,3.344562382,24.27566457,771.5280531,457.5206225,115.6487254,0.753652136,2.218074848,160.7364784,63.54456774,0
10966,228.7920191,6.648383439,8.93681698,74.99361728,0,0,1.436897965,1.593106491,23.81278102,21.37749106,24.40477601,36.56618584,0,11.50581308,0,0,0,0,0,0,0,0.206010602,356.9299661,424.5006014,44.15980222,93.44628495,117.8044685,67.36893577,7.310437253,20.2815247,66.33967161,10.51874138,11.94193543,48.06943769,17.86195463,0,52.23614297,12.98527767,128.8259434,42.87899314,10.09638603,8.727781914,20.03908748,1.131624664,6.604416278,23.49159627,1.205735427,15.4735875,51.64801384,2.017097882,260.697728,169.2089299,39.74475292,1.734196305,3.974485319,150.3051182,0,0
