UID,Axis1,Axis2,Lactobacillus_jensenii,Lactobacillus_crispatus,Lactobacillus_gasseri,Corynebacterium_pseudogenitalium,Staphylococcus_epidermidis,Megasphaera_genomosp.,Mageeibacillus_indolicus,Prevotella_timonensis,Prevotella_amnii,Total_pos,Total_neg,Combined,LogCombined
AYAC02_W3D1,5.988121389,4.79208283,204601.103,388744.083,2481.612,77.7,458.024,9.25,84.6,119.256,207.091,0.596362522,0.000420197,1419.245073,3.152057395
AYAC03_W1D7,-2.361385273,3.501004888,93.2,83.9,4.27,85.1,15.9,16751.882,2280.221,11232.705,4751.717,0.00028237,0.035016525,0.008063907,-2.093454491
AYAC03_W7D5,-1.96148586,2.345452845,826.557,627060.18,6283.048,2.85,0.962,33.7,217.958,15.8,4.23,0.634173597,0.000271688,2334.19804,3.3681377
AYAC05_W7D7,5.180603524,5.509207274,2346.689,4406.844,2.04,227.397,6.75,51.5,31.9,251.828,100.758,0.00698972,0.000435986,16.03198268,1.204987235
EM09_W2D3,8.229288235,4.883414451,58528.76,480240.183,37696.544,2653.898,8634.418,480.016,64.9,6537.393,4634.162,0.587753803,0.011716471,50.16474696,1.700398626
EM09_W8D5,5.826975302,5.208512922,521.245,5704.999,59.8,0,0,9749.247,13694.958,26611.2,252836.206,0.006286044,0.302891611,0.020753444,-1.682909829
UAB006_W7D7,-6.070573367,3.712891222,15.8,19.9,51.7,10.1,2.31,9493.851,6795.639,10494.733,6146.913,0.00009981,0.032931136,0.00303087,-2.518432657
UAB006_W9D7,-15.19725882,-2.877818628,9.21,0.969,71.3,165.301,18.4,20306.689,29701.497,30512.802,18703.826,0.00026518,0.099224814,0.002672517,-2.573079527
UAB015_W1D5,-5.985057855,-1.378358925,33.5,76.5,6.12,12.9,0.847,37880.346,1212.601,66088.329,122207.24,0.000129867,0.227388516,0.000571124,-3.243269719
UAB015_W3D1,-8.725848597,-6.874116969,67.1,552.162,263.658,9.07,13.3,52650.874,1423.538,3333.092,100686.011,0.00090529,0.158093515,0.005726294,-2.242126332
UAB015_W9D4,-9.628013811,-1.6577698,166.167,346.422,10.6,0.776,0,96853.813,1028.88,3992.794,74380.102,0.000523965,0.176255589,0.002972757,-2.526840619
UAB015_W10D7,-6.98184649,0.362652292,86.9,201.736,547.876,37.1,4.42,25508.318,470.937,36002.812,136155.115,0.000878032,0.198137182,0.004431435,-2.353455638
UAB022_W2D1,3.087628409,4.795549126,57.2,100.019,21.9,9.86,32.5,7356.629,126953.366,15699.455,143799.858,0.000221479,0.293809308,0.000753819,-3.122732996
UAB022_W4D1,-1.833187814,2.466523544,22.1,69.5,1.61,41.8,15.3,10948.262,39995.327,11467.65,241836.485,0.00015031,0.304247724,0.000494038,-3.306239463
UAB022_W6D1,-4.109880683,3.720316974,45.3,108.098,7.86,8.15,4.16,50027.795,4315.755,12193.729,16086.119,0.000173568,0.082623398,0.002100712,-2.677633393
UAB028_W1D7,14.87077704,-12.91371007,108382.744,849488.322,11692.3,16.3,5.03,0.0279,0.756,31,2.59,0.969584696,3.43739E-05,28207.00287,4.450356943
UAB028_W3D7,10.01578978,-0.188975606,163071.647,37562.045,12596.89,8.15,1057.351,9.9,62,3247.38,542.691,0.214296083,0.003861971,55.48878617,1.744205225
UAB028_W5D5,11.0822647,-11.88797617,275557.733,114401.144,164016.596,3827.053,355.73,82.6,1888.273,4437.667,344.027,0.558158256,0.006752567,82.65867721,1.917288451
UAB028_W7D7,14.3532994,-10.15302689,135990.384,313117.316,2693.782,243.85,21.6,27.8,530.444,111.254,749.624,0.452066932,0.001419122,318.5539594,2.503183007
UAB028_W9D7,14.70374075,-8.465605816,276361.295,347863.859,55467.067,35.7,2156.599,40.8,49.4,883.224,289.064,0.68188452,0.001262488,540.1116842,2.732483572
UAB035_W5D7,6.297392662,5.059885058,137.632,4726.855,24.5,55.5,71.6,1107.902,3891.987,8670.599,29016.75,0.005016087,0.042687238,0.117507884,-0.929932995
UAB035_W9D7,4.275754309,4.444223717,61.5,11222.384,45.2,16.1,24.2,268.4,7265.4,17309.499,983.005,0.011369384,0.025826304,0.440224974,-0.356325324
UAB039_W1D7,3.228232742,3.673004792,0.271,59.6,0.935,26.8,19.9,139.722,670.556,4.65,150.601,0.000107506,0.000965529,0.111344144,-0.953332619
UAB039_W5D7,5.315785326,3.758434792,49.4,85.6,99,73.4,83.2,81.5,622.398,120.77,193.01,0.0003906,0.001017678,0.38381492,-0.415878147
UAB039_W7D7,1.471094474,2.184202372,72.7,4108.1,1526.056,64,7.25,110.499,990.002,19.5,123.14,0.005778106,0.001243141,4.647989247,0.667265115
UAB048_W1D7,4.520386559,-0.164603127,22.6,77345.799,2391.281,3.97,0.862,112.279,486.313,4.22,153.064,0.079764512,0.000755876,105.5259222,2.023359156
UAB048_W3D7,3.121606252,-0.727871498,8.75,3574.717,1514.488,100.165,5.01,98.2,492.033,99.1,145.614,0.00520313,0.000834947,6.231688958,0.794605768
UAB048_W9D7,1.341077624,1.261124309,117.173,21792.336,24749.102,1048.691,592.138,156.483,1051.309,161.847,374.36,0.04829944,0.001743999,27.69464891,1.442395864
