Component,Comp1,Comp2,Type
jaccard_4675,-0.734171739,-0.229444925,NegGene
jaccard_36913,-0.706073277,0.049251372,NegGene
jaccard_52695,-0.67358525,-0.382015275,NegGene
jaccard_69131,-0.668510859,-0.052812591,NegGene
jaccard_909,-0.664985316,-0.213387214,NegGene
jaccard_43,-0.662108002,-0.180463814,NegGene
jaccard_4736,-0.661740539,-0.336093208,NegGene
jaccard_4987,-0.65760658,-0.076232641,NegGene
jaccard_197875,-0.651731858,-0.300209226,NegGene
38493,-0.641040904,-0.062678793,NegGene
4500,-0.640670085,-0.3429936,NegGene
jaccard_2755,-0.639788693,-0.450593588,NegGene
26134,-0.619171767,-0.426732383,NegGene
jaccard_26929,-0.616310187,-0.101512055,NegGene
jaccard_8946,-0.60666027,0.050383101,NegGene
29531,-0.606248207,-0.457539972,NegGene
49897,-0.605209147,-0.420280633,NegGene
jaccard_25460,-0.593941761,-0.098948706,NegGene
jaccard_42694,-0.588077816,-0.151283549,NegGene
jaccard_711,-0.586755052,-0.100091527,NegGene
jaccard_68427,-0.579704499,-0.284478982,NegGene
jaccard_6798,-0.56901175,-0.424808405,NegGene
jaccard_17127,-0.568385441,-0.302192471,NegGene
54393,-0.565113165,-0.355383556,NegGene
63079,-0.562364275,-0.074663747,NegGene
singleton_158256,-0.561731285,-0.215125396,NegGene
jaccard_6518,-0.553692296,-0.018585533,NegGene
jaccard_45018,-0.55338498,0.064560886,NegGene
4795,-0.553089291,-0.432623221,NegGene
jaccard_9657,-0.547929658,-0.331259443,NegGene
jaccard_6916,-0.547911104,-0.449526815,NegGene
jaccard_103771,-0.545920093,-0.134516006,NegGene
jaccard_39901,-0.545770204,-0.521893273,NegGene
jaccard_6385,-0.544250774,-0.044022112,NegGene
singleton_126725,-0.540187683,0.078251695,NegGene
jaccard_110902,-0.538377917,-0.228915873,NegGene
jaccard_14146,-0.533411804,-0.400950322,NegGene
11804,-0.53096586,-0.439150602,NegGene
jaccard_21144,-0.523764149,0.078807997,NegGene
jaccard_25673,-0.523377165,-0.420084378,NegGene
jaccard_26229,-0.523041234,-0.226902376,NegGene
jaccard_136731,-0.520478577,-0.401322716,NegGene
jaccard_2181,-0.519999303,-0.260555239,NegGene
59719,-0.514652245,-0.210088271,NegGene
jaccard_14944,-0.51406723,-0.129487991,NegGene
jaccard_253924,-0.512108524,-0.431849917,NegGene
jaccard_32964,-0.50992768,-0.085972422,NegGene
jaccard_30495,-0.504820634,0.080820229,NegGene
14001,-0.504047511,-0.167109766,NegGene
jaccard_25684,-0.501570189,-0.265250635,NegGene
jaccard_42170,-0.501042725,-0.018214898,NegGene
jaccard_55876,-0.498956444,0.189951882,NegGene
33785,-0.498857495,-0.05400149,NegGene
6385,-0.496461301,-0.159415862,NegGene
jaccard_18212,-0.495476741,0.022475395,NegGene
jaccard_6482,-0.491294386,-0.054297817,NegGene
jaccard_38676,-0.489013713,-0.059453766,NegGene
jaccard_11019,-0.484562218,-0.38944143,NegGene
jaccard_3763,-0.484371344,-0.118981956,NegGene
jaccard_197391,-0.483808948,-0.205335939,NegGene
17901,-0.48043609,0.128285593,NegGene
jaccard_44137,-0.479776456,0.003492664,NegGene
63688,-0.478052028,-0.065835542,NegGene
jaccard_14871,-0.477050447,-0.143435973,NegGene
22022,-0.473875157,0.144905078,NegGene
singleton_186143,-0.471064236,-0.476386249,NegGene
jaccard_99638,-0.46033514,-0.43490618,NegGene
jaccard_4053,-0.459100349,-0.264954936,NegGene
jaccard_153941,-0.457279403,-0.519220444,NegGene
jaccard_110559,-0.455802678,0.056814374,NegGene
jaccard_60761,-0.454765158,-0.376497824,NegGene
jaccard_51160,-0.452147338,-0.012210222,NegGene
jaccard_7730,-0.448861612,-0.124357797,NegGene
jaccard_266793,-0.448283463,-0.407435929,NegGene
jaccard_52790,-0.447419047,-0.12353329,NegGene
singleton_326187,-0.44718274,0.234647624,NegGene
jaccard_17565,-0.446654225,-0.13591038,NegGene
41203,-0.44370006,-0.067773326,NegGene
jaccard_109942,-0.439486308,-0.089541678,NegGene
jaccard_22987,-0.438542471,-0.074962805,NegGene
jaccard_33613,-0.437243761,-0.434727233,NegGene
jaccard_88945,-0.43707633,-0.254983597,NegGene
jaccard_13442,-0.435895104,0.071376553,NegGene
singleton_289399,-0.43032665,-0.312194473,NegGene
jaccard_1377,-0.427689528,-0.149896169,NegGene
singleton_47189,-0.42273182,-0.463938049,NegGene
jaccard_61982,-0.42034133,-0.470525118,NegGene
11017,-0.419427915,0.099330359,NegGene
jaccard_61279,-0.417363857,-0.369337967,NegGene
jaccard_113854,-0.416850644,0.227377308,NegGene
singleton_140444,-0.409634833,0.026569891,NegGene
singleton_238052,-0.408747899,-0.330434269,NegGene
jaccard_58601,-0.408454895,0.132860816,NegGene
jaccard_12658,-0.407174054,0.05913982,NegGene
42612,-0.39886489,-0.138991511,NegGene
31170,-0.397389604,-0.161350432,NegGene
jaccard_96037,-0.389357469,-0.347507699,NegGene
jaccard_213524,-0.386685311,-0.037529021,NegGene
jaccard_121804,-0.379864896,-0.34740935,NegGene
singleton_62235,-0.377115514,-0.280416595,NegGene
jaccard_23679,-0.372347807,-0.112899731,NegGene
singleton_67381,-0.371962739,-0.046793635,NegGene
jaccard_57346,-0.365695041,-0.083216007,NegGene
jaccard_4462,-0.362525487,-0.177669689,NegGene
jaccard_67357,-0.353111794,0.111405599,NegGene
jaccard_108356,-0.35221707,-0.168683252,NegGene
jaccard_23936,-0.35053341,-0.44927213,NegGene
jaccard_16347,-0.343284067,-0.385698229,NegGene
jaccard_54191,-0.342180298,-0.191893522,NegGene
jaccard_83691,-0.333966015,-0.415343289,NegGene
singleton_61724,-0.333819039,-0.420800509,NegGene
4527,-0.327205296,-0.15483957,NegGene
60700,-0.322749793,0.17296439,NegGene
jaccard_29584,-0.32239228,-0.367754674,NegGene
36815,-0.320919543,-0.027091836,NegGene
jaccard_109899,-0.318741555,0.205459072,NegGene
62655,-0.300341116,-0.145703555,NegGene
jaccard_208405,-0.300182981,-0.424560696,NegGene
jaccard_6044,-0.294443908,-0.094575674,NegGene
jaccard_35444,-0.292338599,0.254436664,NegGene
jaccard_278232,-0.288110473,0.001662253,NegGene
singleton_153598,-0.277450066,-0.015928205,NegGene
jaccard_58068,-0.272848483,0.271992189,NegGene
singleton_338168,-0.258938193,-0.41106681,NegGene
jaccard_150047,-0.258690111,-0.086304528,NegGene
singleton_8403,-0.247045682,0.129207324,NegGene
4276,-0.212886635,0.192202877,NegGene
singleton_287347,-0.193347905,0.115684524,NegGene
26766,0.186754603,0.256230923,PosGene
26834,0.196184532,-0.208213876,PosGene
jaccard_37558,0.218564757,-0.57815289,PosGene
jaccard_31761,0.22325423,-0.386489979,PosGene
singleton_192878,0.229511669,0.107516875,PosGene
jaccard_8442,0.230032868,-0.405218831,PosGene
jaccard_12773,0.242781758,-0.097106472,PosGene
jaccard_25263,0.251995776,-0.341607299,PosGene
jaccard_280255,0.255663748,-0.621857067,PosGene
jaccard_180407,0.260183008,0.04514136,PosGene
jaccard_2129,0.283128113,-0.268277017,PosGene
jaccard_13561,0.284231602,-0.399578111,PosGene
jaccard_81527,0.28580844,-0.281310463,PosGene
jaccard_16070,0.291566382,-0.708117107,PosGene
jaccard_64888,0.292048435,-0.416967349,PosGene
jaccard_659,0.296350573,-0.611633774,PosGene
jaccard_111224,0.305706806,-0.819226494,PosGene
jaccard_297713,0.307551114,-0.5704318,PosGene
jaccard_23603,0.310253657,-0.543453279,PosGene
singleton_122972,0.326250383,-0.679695936,PosGene
jaccard_20624,0.341836286,0.076112999,PosGene
jaccard_45497,0.346534538,0.001476261,PosGene
jaccard_17275,0.348211672,-0.067557125,PosGene
jaccard_14509,0.349135538,-0.658512166,PosGene
jaccard_6938,0.351399908,-0.395467084,PosGene
singleton_22723,0.365537678,-0.359149813,PosGene
36208,0.369637052,-0.504643961,PosGene
jaccard_28733,0.370245804,-0.309770451,PosGene
jaccard_125270,0.374264286,-0.836165533,PosGene
singleton_281931,0.377696083,-0.569256344,PosGene
jaccard_240226,0.384627011,-0.334781312,PosGene
60493,0.395936199,-0.615587676,PosGene
jaccard_3147,0.409559699,-0.651141029,PosGene
jaccard_20061,0.414219671,-0.415659504,PosGene
jaccard_24028,0.428459722,-0.066280684,PosGene
jaccard_20060,0.435901156,-0.250068359,PosGene
jaccard_19995,0.440666669,-0.556628075,PosGene
47405,0.445600358,-0.599331739,PosGene
jaccard_80937,0.448810977,-0.293023451,PosGene
jaccard_253537,0.458383431,-0.738032702,PosGene
58150,0.459515454,-0.384476502,PosGene
singleton_330699,0.475389128,-0.792132731,PosGene
singleton_222720,0.481425234,-0.745781236,PosGene
jaccard_353784,0.48611384,-0.719070533,PosGene
jaccard_28061,0.488872999,-0.578474452,PosGene
jaccard_12573,0.496851998,-0.397266444,PosGene
jaccard_44437,0.501745267,-0.567673439,PosGene
jaccard_28144,0.514481853,-0.389146881,PosGene
singleton_318406,0.515730629,-0.327133813,PosGene
singleton_149588,0.534249567,-0.593258331,PosGene
jaccard_701,0.543501215,-0.454167744,PosGene
jaccard_29269,0.543999382,0.068740336,PosGene
jaccard_55198,0.589404085,-0.54148309,PosGene
singleton_87756,0.601633624,-0.643429465,PosGene
jaccard_118808,0.602874383,-0.511399052,PosGene
jaccard_35747,0.603035941,-0.707101752,PosGene
singleton_131018,0.618694642,-0.602384654,PosGene
Megasphaera_genomosp.,-0.793735173,0.0263556,TaxaNeg
Prevotella_timonensis,-0.527280806,-0.195428556,TaxaNeg
Mageeibacillus_indolicus,-0.449118693,0.181691931,TaxaNeg
Prevotella_amnii,-0.432612288,0.205320168,TaxaNeg
Corynebacterium_pseudogenitalium,0.517183445,-0.006306575,TaxaPos
Staphylococcus_epidermidis,0.546763936,0.073706287,TaxaPos
Lactobacillus_gasseri,0.5528328,-0.174029132,TaxaPos
Lactobacillus_jensenii,0.719254121,-0.21185195,TaxaPos
