VOG,AYAC02_W1D7,AYAC02_W3D1,AYAC02_W5D6,AYAC02_W9D3,AYAC03_W1D7,AYAC03_W4D7,AYAC03_W7D5,AYAC03_W8D6,AYAC03_W9D7,AYAC05_W7D7,AYAC10_W2D7,AYAC10_W5D4,EM09_W2D3,EM09_W8D5,EM10_W1D7,EM10_W3D2,EM10_W4D7,EM10_W6D5,EM10_W8D7,EM11_W7D7,UAB006_W2D2,UAB006_W7D7,UAB007_W1D7,UAB007_W6D3,UAB007_W7D7,UAB007_W9D7,UAB010_W7D5,UAB015_W1D5,UAB015_W3D1,UAB015_W9D4,UAB015_W10D7,UAB021_W3D7,UAB021_W5D7,UAB022_W2D1,UAB022_W4D1,UAB022_W6D1,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB035_W3D6,UAB035_W5D7,UAB035_W7D4,UAB035_W9D7,UAB038_W2D2,UAB038_W3D7,UAB038_W5D7,UAB039_W5D7,UAB039_W7D7,UAB044_W3D7,UAB044_W5D7,UAB060_W7D7,UAB060_W10D2,UAB071_W7D7,UAB077_W5D7,UAB079_W2D2,UAB079_W6D7,UAB082_W2D5,UAB082_W5D7,UAB088_W4D1,UAB088_W6D1,UAB088_W7D6,UAB088_W10D1,UAB106_W1D7,UAB106_W3D7,UAB106_W5D4,UAB106_W7D7,UAB117_W1D6,UAB117_W5D6,UAB117_W8D1,UAB117_W9D6,UAB119_W1D7,UAB119_W5D7,UAB129_W5D7
10541,21.93229042,82.35512236,6.878383037,51.08605278,251.336404,42.97125096,210.2546561,30.72029739,13.97375898,205.4312681,772.2516717,151.9072358,0,0,238.6814852,413.817246,336.8036201,308.6416382,208.6593844,61.17892022,17.25851651,26.20475682,42.78574846,41.93291163,225.253337,9.356530613,20.1539574,35.55516415,55.38524508,30.65689862,151.225175,192.2138842,268.1422055,0,67.5723471,0,168.8081108,2.675907178,0,0,0,145.9226809,0,239.2080004,0,0,0,0,55.96441712,7.659363013,0,37.03373511,23.64326754,46.72126378,32.58123145,19.07565578,385.1396655,0,161.9227837,4.873754872,82.65986611,59.43425269,117.9475807,57.80115006,74.79699369,44.91667424,38.4934837,23.7818672,0,12.88222134,8.541008382,174.7592587,91.37905572,0
10685,279.2220825,124.6437945,12.17932356,40.66881694,79.78950071,149.2184546,180.5113558,696.5312815,437.2043097,89.31063363,104.2577619,441.4693431,0,0,144.3962055,266.761166,122.3707061,103.8923188,265.0536042,54.53051543,421.6122259,796.4090736,17.17714936,673.9296336,26.18578307,8.285924438,134.6019943,106.6538289,202.5728604,79.39730886,117.7814436,2.877728886,0,0,100.6992108,668.0954265,0,0,0,0,3971.456024,184.5587374,0,306.7488635,0,0,39.1944952,0,30.05719571,0,405.8976077,12297.773,128.4234232,114.1458947,52.78060201,140.8577992,80.31664704,80.04549171,6.494299031,114.2674555,214.7940574,1510.582129,81.96579531,172.7859526,186.4646668,170.6010957,361.8127561,459.0035664,866.9158402,539.8482439,517.0492811,120.0069514,112.4910844,840.4029453
10825,518.6327792,754.9619452,458.3078624,624.8696308,681.6342212,899.2569199,697.7877096,323.5200444,449.2809174,695.5425936,668.3378287,628.5077164,0,0,936.9487655,760.1775771,763.3460141,732.07811,790.4367813,730.7802398,627.887326,380.7158819,643.5382998,506.0969016,425.7398931,344.6079746,650.3300505,195.3292621,265.335139,296.3095599,321.1455004,443.2836292,372.3368522,173.5811061,288.2351846,386.8088256,225.3379624,409.15518,460.5826911,561.2197329,0,95.17656341,235.1714167,445.3864396,8.823235601,561.2114758,1531.748428,98.66879207,524.7679984,189.9657992,399.3821842,362.7255521,299.2288049,601.1147465,619.1171807,646.7522383,1030.509839,155.7637171,206.062813,1001.95122,644.4764248,432.5571428,850.6177656,524.143203,689.4569886,826.3220892,950.4874789,468.5653607,324.2952925,418.4032655,476.5696641,226.5987751,355.262372,289.5000011
1109,46.67641294,113.9102275,39.03629348,211.7210096,126.0824928,70.73607255,132.7408245,18.67974127,48.22544678,234.3375103,162.4021708,79.17300202,0,0,12.31425845,34.29227553,35.30971387,22.00972455,31.25123525,0,75.8289824,33.46145871,37.35665612,790.4277043,64.81485019,158.3053006,147.3380914,64.71983791,60.24526089,175.9615463,43.32437212,93.38583827,83.30826524,75.94095727,61.72009254,117.0520027,31.93406997,0,35.08037488,0,0,14.05218994,183.1003982,143.3752812,0,39.6878226,51.05334246,106.7195062,89.32781963,157.5733912,169.6998758,56.29670355,50.31772323,54.59035547,38.5219688,46.39646681,19.6324841,179.9721637,38.16094516,84.19907739,66.56324631,91.18922611,47.48963575,49.3421431,64.43135415,50.77079978,66.23483229,27.25298786,32.02478085,23.34214465,19.8735395,27.21391834,23.5725303,36.52905024
11099,13.4456299,29.1298,26.39223856,20.36180552,27.19098218,37.39644294,17.06533792,9.305783517,14.03348768,38.03697193,41.76225165,67.61489954,0,0,0,33.27966354,21.77861914,2.741174636,2.582807528,7.41292026,32.04224222,28.57657423,13.2929707,9.677946933,5.570095926,3.25941915,17.80245649,11.15130515,16.1248324,23.21644695,13.65463136,9.651253009,13.04352036,0,3.865389737,0,0,0,0.907853099,0,0,0,0,0.962614648,0,0,0,0,0,0,0,0,14.3240234,6.660137216,32.89832372,33.8448679,3.493005839,71.39911357,67.64894824,2.084267863,20.97887507,1.256079521,24.14097751,7.901045725,14.02606121,5.419875524,13.89328407,14.9621461,21.6517907,31.15554261,23.59562666,28.40576878,28.51932042,0
11164,382.6888406,376.6671072,529.6442037,243.9277916,164.0307696,492.3392023,234.0167629,588.7956804,1044.637706,248.7480731,377.4919554,459.9584204,0,0,479.011765,882.2689694,710.2083999,734.8834706,1115.909997,1171.953127,1455.37491,689.7805633,971.5862221,98.78956366,212.4120826,540.3986003,283.6300542,565.6280402,457.4878055,492.1143367,465.0356311,165.5227443,344.5057848,0,311.3897227,308.7341363,108.4502545,585.210141,368.9798468,543.8605889,2.796998304,1157.092395,13.96515817,378.2876636,34.77383776,84.09762255,37.05630286,469.4775965,403.9260528,0,14.55153818,280.3583324,383.4691299,236.1186818,329.5590995,519.6545023,5.495216841,135.2253359,369.5384391,393.9276551,498.8375848,71.09375163,425.7574376,1547.828557,903.6203842,1080.217408,751.0672472,185.6997538,124.7845375,310.1559037,450.839969,101.2147815,697.3409306,0
11320,575.3701402,1018.960032,884.9039777,530.0177976,200.744979,463.584731,425.9736657,204.9656849,437.4666789,434.4062782,379.2586916,379.4334705,0,0,676.3606451,652.4884789,958.4541593,960.2266376,795.6667705,311.4414899,484.2701735,731.5577803,405.2029794,131.7986595,1042.888701,1886.640993,466.3835268,499.7765292,317.7446382,1054.159357,661.7797841,576.8146445,674.1721365,13.71156173,379.8607181,242.0848238,555.2536416,14.57165962,0,1136.827748,2246.618963,1865.081929,1592.704199,689.0112978,4850.150712,1031.653056,431.4007438,1595.456618,796.4122025,1638.763269,1043.694641,126.3324836,232.839274,186.2895881,290.4556448,697.3968917,505.3553326,939.2331484,503.4656645,149.7787694,458.7090653,135.2990376,376.0538418,271.2153552,523.2701285,363.4777507,576.3550924,408.456473,377.2919494,412.6877542,534.1758134,501.330052,191.5268087,94.97553063
11529,139.8331194,111.7592781,80.94290265,63.61728269,78.88583772,122.6884485,129.2145028,16.48212465,110.0674903,80.70059229,89.60778598,46.57235413,0,0,14.66845491,74.26936678,56.49554218,50.73565182,76.85313261,62.49662004,176.4696539,192.8954679,192.0022252,71.99341519,66.90101074,6.5008836,117.1771174,122.8846812,82.50981383,88.96932117,87.37688494,32.24319224,54.39539672,0,230.2522511,0,0,0,72.5994924,0,0,0,0,0,0,0,4.504706688,0,124.3082935,0,5.989407381,73.51687169,102.7496365,45.41550581,43.50716477,75.73540906,28.58258714,53.38348286,91.62708223,142.3416628,200.9482877,68.00259176,194.7474138,116.3410335,78.2539976,77.13615077,49.82992027,41.91005696,43.79859734,62.13777352,54.48828406,51.22619923,108.1563155,563.2457232
12810,179.4623928,310.8687696,232.2534745,218.1744692,142.8178106,183.2002938,170.1977324,128.0129234,188.6133688,580.0755496,0,8.220838868,4.08894283,0,0,0,0,0,0,0,155.0118226,119.5204819,0,0,0,0,0,92.8284802,113.2517177,140.9107289,110.2784223,6.93097005,3.114078924,0,71.67418286,0,0,0.946114146,311.933104,0,3.578906776,174.9160934,0,726.5941457,0,0,0,0,86.07434632,0,0,22.44673675,19.70452147,266.2494471,5.759834313,135.8541912,72.16349187,131.2080386,242.066524,272.3165883,186.611018,225.7786219,208.7940033,232.1747514,362.2129481,294.0636005,388.7551406,0,0,0,0,474.722026,246.7207964,107.5302034
13158,0,0,0,4.333308514,0,0.765244613,0,0,3.043353438,0,500.0000192,404.7047142,136.6818462,0,3.497010287,0,0,0,0,0,1.79449655,0,0,0,0,0,0.495895194,285.0639804,135.1665623,117.3819186,345.3030574,0.307475533,0,0,55.69908778,96.3896898,57.43482002,73.31466075,76.07456406,22.83550883,224.7646113,20.75085524,93.79843358,6.273817604,80.10870581,25.3587847,111.1525441,121.2250702,352.439753,92.58162088,44.39456592,0,0,0,0,0,3.716829514,0,0,1769.45303,3061.332326,7900.7168,8954.187287,0,5.740314819,0,0,0,0,0,0,0,0,76.07263375
