UID,Axis1,Axis2,Lactobacillus_jensenii,Finegoldia_magna,Mageeibacillus_indolicus,Prevotella_buccalis,Gardnerella_vaginalis,Prevotella_sp.,Prevotella_timonensis,Atopobium_vaginae,Megasphaera_genomosp.,Prevotella_amnii,Total_neg,Total_pos,Ratio,LogCombined
AYAC02_W1D7,-5.309416081,1.675928647,952590.496,951.806,5.8,555.703,113.331,219.052,816.398,520.191,5.17,132.182,0.953542302,0.002367827,0.00248319,-2.604989996
AYAC02_W3D1,-3.247188118,2.325238181,204601.103,2971.409,84.6,41.7,10841.346,42.3,119.256,705.285,9.25,207.091,0.207572512,0.012050828,0.058055992,-1.236152953
AYAC02_W5D6,-4.82287453,-0.010018074,25524.892,22.1,4.03,1.47,1219.785,0,2.63,39.3,0,5.25,0.025546992,0.001272465,0.049808799,-1.302693926
AYAC02_W9D3,-3.039061427,-1.432635205,33.2,5.3,0.274,3.52,39.8,1.65,3.36,197.581,0.361,11.7,0.0000385,0.000258246,6.707688312,0.826572874
AYAC03_W1D7,5.630938381,3.807557713,93.2,6209.274,2280.221,29866.575,631342.911,30710.242,11232.705,91831.688,16751.882,4751.717,0.006302474,0.818767941,129.9121489,2.113649767
AYAC03_W4D7,-4.063175299,2.495761785,49016.199,49.3,7.3,0.633,3906.489,0.74,3.73,56.6,0.0555,16.5,0.049065499,0.003992048,0.0813616,-1.08958052
AYAC03_W7D5,-0.707192234,0.200829254,826.557,425.704,217.958,7.79,33739.36,2.04,15.8,176.221,33.7,4.23,0.001252261,0.034197099,27.30828398,1.43629441
AYAC03_W8D6,-0.848877707,-0.411858332,441.306,176.354,1.1,119.795,47.7,4.11,353.955,1.78,2.07,14.1,0.00061766,0.00054461,0.881731049,-0.054663866
AYAC03_W9D7,-3.45621224,4.071154435,329.317,34453.968,1169.646,15409.84,18712.716,29771.035,92607.348,1730.583,1422.38,5778.788,0.034783285,0.166602336,4.78972403,0.680310491
AYAC05_W7D7,-2.185776367,-1.33910916,2346.689,6384.239,31.9,1168.828,926284.729,30.9,251.828,90.2,51.5,100.758,0.008730928,0.928010643,106.290035,2.02649255
AYAC10_W2D7,-2.272383303,0.013971629,25564.174,837.429,928.677,69.6,17808.535,9.93,208.747,999.691,174.094,123.799,0.026401603,0.020323073,0.769766631,-0.113640919
AYAC10_W5D4,-3.589456084,1.229941343,32411.522,90.1,99.2,4.96,2553.425,0.854,12.5,195.104,17.3,12,0.032501622,0.002895343,0.089083031,-1.050205015
EM09_W2D3,2.3140722,-7.313213439,58528.76,7480.525,64.9,1637.247,6583.233,151.3,6537.393,499.515,480.016,4634.162,0.066009285,0.020587766,0.311891971,-0.505995805
EM09_W8D5,4.259413401,-6.608097245,521.245,375.349,13694.958,1897.846,237341.338,7696.24,26611.2,51351.428,9749.247,252836.206,0.000896594,0.601178463,670.5135914,2.826407586
EM10_W1D7,-7.269609405,2.143595574,600.131,1522.076,200.529,7.23,1613.405,4.96,33.3,554.035,1.4,121.03,0.002122207,0.002535889,1.194930089,0.077342497
EM10_W3D2,-6.4714942,2.62612128,455,13253.439,281.326,95.4,2231.882,39.3,350.971,600.494,18.4,426.669,0.013708439,0.004044442,0.295033008,-0.530129392
EM10_W4D7,-6.434477542,2.253821872,859.203,842.876,237.843,12,1658.883,6.64,78.3,654.029,0,122.878,0.001702079,0.002770573,1.627758171,0.211589884
EM10_W6D5,-6.797096242,3.840081197,1312.905,1612.814,316.314,308.962,10404.632,276.048,223.662,1165.957,70,198.748,0.002925719,0.012964323,4.431157948,0.646517231
EM10_W8D7,-7.522322914,3.714045626,3172.647,2551.628,183.306,37.4,1763.427,21.1,129.807,666.433,20.5,392.884,0.005724275,0.003214857,0.561618196,-0.25055883
EM11_W7D7,-8.660717976,4.806796438,228.064,57.8,5.73,5.96,722.025,1.63,8.51,3.3,2.02,3.35,0.000285864,0.000752525,2.632458092,0.420361466
UAB006_W2D2,-2.002974296,1.785152872,575.368,648.362,1547.334,602.349,130908.819,719.477,348.41,5593.565,9017.297,1334.336,0.00122373,0.150071587,122.6345575,2.088612868
UAB006_W7D7,5.677094322,2.909873597,15.8,482.875,6795.639,39001.354,569606.805,4977.493,10494.733,23903.34,9493.851,6146.913,0.000498675,0.670420128,1344.402924,3.128529448
UAB007_W1D7,-0.995579392,1.037654201,210209.545,2311.106,1000.276,349.819,6112.19,1005.672,303.255,2993.628,724.568,330.747,0.212520651,0.012820155,0.060324279,-1.219507862
UAB007_W6D3,-0.658553821,-1.959199932,17607.384,8637.766,361.513,384.301,2588.751,641.491,722.21,905.927,198.816,395.166,0.02624515,0.006198175,0.236164587,-0.626785225
