Component,Comp1,Comp2,Type
singleton_220824,-0.648901363,0.454118189,NegGene
jaccard_87585,-0.584557429,0.083748088,NegGene
jaccard_470467,-0.577291559,0.417841419,NegGene
singleton_371980,-0.562712294,0.289269163,NegGene
jaccard_101871,-0.555578924,0.348877812,NegGene
singleton_90219,-0.555013924,0.542592576,NegGene
singleton_324886,-0.539080085,0.434721085,NegGene
jaccard_188869,-0.534521791,0.38511543,NegGene
44887,-0.525513758,0.103733777,NegGene
jaccard_106755,-0.519737364,0.371632881,NegGene
jaccard_369585,-0.513151687,0.164851476,NegGene
jaccard_64009,-0.512051255,0.118223035,NegGene
singleton_312358,-0.510803108,0.438170066,NegGene
59789,-0.509080029,0.353153086,NegGene
jaccard_335495,-0.503755546,0.333461489,NegGene
singleton_304092,-0.502715567,0.339577579,NegGene
jaccard_261076,-0.499267357,0.449883001,NegGene
jaccard_78299,-0.497163304,0.420864266,NegGene
singleton_50922,-0.496339504,0.284388294,NegGene
singleton_2380,-0.491294768,0.283585123,NegGene
singleton_206775,-0.479507559,0.407158273,NegGene
jaccard_43602,-0.472657659,0.344649295,NegGene
jaccard_387772,-0.467537408,0.15724292,NegGene
10825,-0.462820624,0.364253629,NegGene
singleton_212225,-0.462801212,0.378802993,NegGene
singleton_108953,-0.460314988,-0.137456859,NegGene
jaccard_175185,-0.459614462,0.331687765,NegGene
jaccard_538542,-0.456966001,0.040234754,NegGene
jaccard_240379,-0.443998678,0.281208098,NegGene
singleton_300919,-0.439262913,0.386663046,NegGene
jaccard_105726,-0.427124616,0.219868736,NegGene
singleton_155906,-0.421899114,0.118616127,NegGene
singleton_303959,-0.42182078,0.213651162,NegGene
jaccard_134023,-0.415088336,0.053507753,NegGene
singleton_214960,-0.409392328,0.361906179,NegGene
jaccard_353375,-0.407674227,0.618827692,NegGene
jaccard_132298,-0.399541574,0.25302154,NegGene
singleton_80566,-0.399079316,0.145855929,NegGene
singleton_291911,-0.398841856,0.341600664,NegGene
singleton_179306,-0.39406738,0.234975614,NegGene
singleton_194524,-0.391542902,0.298686455,NegGene
jaccard_299687,-0.389074111,0.019720618,NegGene
singleton_42890,-0.384696658,0.328661746,NegGene
jaccard_167218,-0.380829638,0.077135949,NegGene
jaccard_241450,-0.368158849,0.348740815,NegGene
31107,-0.354192612,-0.331933317,NegGene
jaccard_121085,-0.341680396,0.084642013,NegGene
singleton_229814,-0.33934027,-0.251569334,NegGene
jaccard_47778,-0.333644145,0.297355416,NegGene
singleton_73366,-0.325964516,0.084767878,NegGene
jaccard_1804,-0.324761928,0.010993448,NegGene
jaccard_191144,-0.322836948,-0.385130094,NegGene
singleton_313383,-0.319035498,0.096152047,NegGene
jaccard_14570,-0.315946842,0.310983555,NegGene
singleton_365318,-0.298918975,0.365388453,NegGene
singleton_123437,-0.258618663,0.166422117,NegGene
singleton_78784,-0.243276412,-0.070508927,NegGene
singleton_327129,-0.215574608,-0.098892799,NegGene
43062,0.236749411,0.256721445,PosGene
singleton_101587,0.244989493,0.311275825,PosGene
jaccard_96611,0.252276062,0.279281556,PosGene
jaccard_212233,0.279695915,0.280546358,PosGene
singleton_309970,0.280716071,-0.062181435,PosGene
singleton_77366,0.283303926,0.493727829,PosGene
jaccard_406900,0.283548111,0.039172549,PosGene
jaccard_205432,0.285934881,0.255524055,PosGene
singleton_14463,0.293236754,-0.106794243,PosGene
36704,0.298957688,0.034397086,PosGene
singleton_155063,0.302810943,0.246527539,PosGene
singleton_142082,0.30901537,0.367124213,PosGene
jaccard_90971,0.309182001,0.279017145,PosGene
jaccard_90463,0.309500969,0.131226563,PosGene
jaccard_364348,0.309700213,0.410592378,PosGene
jaccard_259600,0.313817875,0.264221556,PosGene
jaccard_508912,0.326011844,0.09166808,PosGene
jaccard_91097,0.343828797,0.569173883,PosGene
jaccard_15093,0.346121794,-0.18172123,PosGene
5745,0.34959752,0.337569868,PosGene
singleton_344070,0.351699659,0.15928624,PosGene
singleton_267955,0.363799705,0.111819969,PosGene
jaccard_336771,0.367734179,0.290757292,PosGene
jaccard_221428,0.370587072,0.57399552,PosGene
jaccard_280932,0.372172125,0.436844377,PosGene
jaccard_61462,0.376310203,0.395290978,PosGene
singleton_231979,0.377954137,0.221676131,PosGene
jaccard_106195,0.37803998,0.158525955,PosGene
4787,0.383345997,0.419821142,PosGene
singleton_341109,0.3946003,0.103722504,PosGene
singleton_61832,0.400562385,0.327410043,PosGene
jaccard_44490,0.402711908,0.418567479,PosGene
jaccard_76098,0.403152346,0.362972933,PosGene
jaccard_13071,0.403211385,0.268872598,PosGene
singleton_1870,0.405896544,0.359721679,PosGene
jaccard_191786,0.419659538,0.465784614,PosGene
jaccard_7249,0.426931013,0.232301424,PosGene
jaccard_7570,0.43008865,-0.065187717,PosGene
singleton_346662,0.430600341,0.256960409,PosGene
singleton_213890,0.430666871,0.424327493,PosGene
jaccard_429427,0.446126533,0.088783024,PosGene
jaccard_246981,0.451681798,0.563510041,PosGene
singleton_111487,0.453560141,0.314761102,PosGene
jaccard_11094,0.458702356,0.307294815,PosGene
48319,0.459105793,0.30188849,PosGene
singleton_260067,0.46089078,0.41403537,PosGene
jaccard_243568,0.474692865,0.088015653,PosGene
jaccard_63669,0.481976614,0.262216776,PosGene
jaccard_198574,0.485505288,0.561653108,PosGene
jaccard_94206,0.520462749,0.287367038,PosGene
jaccard_430652,0.571449052,0.396354308,PosGene
singleton_132343,0.598134568,0.43260859,PosGene
jaccard_19308,0.659596777,0.119785282,PosGene
Lactobacillus_jensenii,-0.665674863,-0.119878379,TaxaNeg
Finegoldia_magna,-0.578180905,-0.045857969,TaxaNeg
Mageeibacillus_indolicus,0.555343627,0.09259289,TaxaPos
Prevotella_buccalis,0.57639167,0.026918839,TaxaPos
Gardnerella_vaginalis,0.588856878,-0.006646716,TaxaPos
Prevotella_sp.,0.645748033,0.052861435,TaxaPos
Prevotella_timonensis,0.661377242,0.112915379,TaxaPos
Atopobium_vaginae,0.677430159,0.130918549,TaxaPos
Megasphaera_genomosp.,0.730724674,0.158579585,TaxaPos
Prevotella_amnii,0.775954068,0.106762901,TaxaPos
