UID,SID,Count,Species,Sort,Ratio,LogAbund,Stability,Community_type
AYAC03_W4D7,AYAC03,2,Lactobacillus_crispatus,1,-2.759560831,-0.045732836,Unstable,NonLacto
UAB096_W5D3,UAB096,3,Lactobacillus_crispatus,1,-2.369887895,-0.498541555,Unstable,NonLacto
UAB010_W7D5,UAB010,4,Lactobacillus_crispatus,1,-2.320963953,-0.004297499,Unstable,Lcrispatus
AYAC03_W7D5,AYAC03,3,Lactobacillus_crispatus,1,-2.157096794,-0.202690777,Unstable,NonLacto
UAB116_W4D6,UAB116,3,Lactobacillus_crispatus,1,-1.801206498,-3.185956277,Stable,NonLacto
UAB110_W7D7,UAB110,4,Lactobacillus_crispatus,1,-1.360152873,-2.612889173,Unstable,NonLacto
UAB048_W5D2,UAB048,3,Lactobacillus_crispatus,1,-1.267578577,-0.429720354,Stable,NonLacto
UAB082_W10D2,UAB082,5,Lactobacillus_crispatus,1,-1.056828504,-2.856235362,Unstable,NonLacto
UAB007_W9D7,UAB007,5,Lactobacillus_crispatus,1,-1.034573133,-1.623105467,Unstable,Liners
UAB088_W2D1,UAB088,1,Lactobacillus_crispatus,1,-0.899180669,-1.80726321,Unstable,Liners
AYAC10_W8D1,AYAC10,4,Lactobacillus_crispatus,1,-0.783344644,-0.07929511,Stable,Lcrispatus
UAB048_W1D7,UAB048,1,Lactobacillus_crispatus,1,-0.776216464,-1.11156327,Stable,NonLacto
UAB110_W1D7,UAB110,1,Lactobacillus_crispatus,1,-0.745655221,-2.67906916,Unstable,NonLacto
UAB106_W1D7,UAB106,1,Lactobacillus_crispatus,1,-0.739152647,-2.022129994,Stable,Ljensenii
UAB106_W3D7,UAB106,2,Lactobacillus_crispatus,1,-0.713432427,-1.98176716,Stable,Ljensenii
UAB129_W1D7,UAB129,1,Lactobacillus_crispatus,1,-0.648381102,-3.204852299,Unstable,NonLacto
UAB119_W7D7,UAB119,4,Lactobacillus_crispatus,1,-0.589505095,-0.348186003,Unstable,Lcrispatus
UAB119_W1D7,UAB119,1,Lactobacillus_crispatus,1,-0.567143663,-0.314548603,Unstable,Lcrispatus
UAB077_W9D7,UAB077,5,Lactobacillus_crispatus,1,-0.550967272,-3.900029466,Stable,NonLacto
UAB106_W5D4,UAB106,3,Lactobacillus_crispatus,1,-0.545533633,-1.901648059,Stable,Ljensenii
UAB106_W9D7,UAB106,5,Lactobacillus_crispatus,1,-0.52533782,-2.143285908,Stable,Ljensenii
EM09_W4D4,EM09,2,Lactobacillus_crispatus,1,-0.524632352,-0.022669444,Unstable,Liners
UAB088_W10D1,UAB088,5,Lactobacillus_crispatus,1,-0.50007529,-1.439144814,Unstable,Liners
UAB106_W7D7,UAB106,4,Lactobacillus_crispatus,1,-0.489045212,-2.05349468,Stable,Ljensenii
AYAC02_W3D1,AYAC02,2,Lactobacillus_crispatus,1,-0.473538957,-0.410336208,Unstable,Lcrispatus
UAB117_W8D1,UAB117,4,Lactobacillus_crispatus,1,-0.46854411,-2.610696204,Stable,Liners
AYAC10_W2D7,AYAC10,2,Lactobacillus_crispatus,1,-0.41471214,-0.721440867,Stable,Lcrispatus
AYAC10_W9D5,AYAC10,5,Lactobacillus_crispatus,1,-0.384804416,-0.001292901,Stable,Lcrispatus
EM09_W2D3,EM09,1,Lactobacillus_crispatus,1,-0.374448881,-0.318541504,Unstable,Liners
UAB071_W1D7,UAB071,1,Lactobacillus_crispatus,1,-0.365664887,-3.771012252,Stable,NonLacto
EM09_W9D6,EM09,5,Lactobacillus_crispatus,1,-0.364140156,-0.055720463,Unstable,Liners
UAB011_W1D7,UAB011,1,Lactobacillus_crispatus,1,-0.350695296,-2.626984404,Stable,Lgasseri
AYAC10_W5D4,AYAC10,3,Lactobacillus_crispatus,1,-0.340228109,-0.062827971,Stable,Lcrispatus
UAB048_W9D7,UAB048,5,Lactobacillus_crispatus,1,-0.328007307,-1.661696214,Stable,NonLacto
UAB048_W7D7,UAB048,4,Lactobacillus_crispatus,1,-0.305368065,-2.063483242,Stable,NonLacto
UAB082_W3D7,UAB082,2,Lactobacillus_crispatus,1,-0.284364796,-3.463921567,Unstable,NonLacto
UAB038_W9D7,UAB038,5,Lactobacillus_crispatus,1,-0.257088914,-1.058317805,Unstable,NonLacto
UAB079_W10D1,UAB079,5,Lactobacillus_crispatus,1,-0.215663373,-4.311580178,Stable,NonLacto
UAB071_W10D2,UAB071,5,Lactobacillus_crispatus,1,-0.201833502,-3.584919762,Stable,NonLacto
UAB060_W1D6,UAB060,1,Lactobacillus_crispatus,1,-0.199392316,-3.777252323,Stable,NonLacto
UAB071_W3D7,UAB071,2,Lactobacillus_crispatus,1,-0.186475964,-4.183096161,Stable,NonLacto
AYAC09_W3D4,AYAC09,2,Lactobacillus_crispatus,1,-0.174615551,-0.032636096,Stable,Lcrispatus
AYAC02_W7D5,AYAC02,4,Lactobacillus_crispatus,1,-0.171905421,-0.004532823,Unstable,Lcrispatus
EM11_W3D6,EM11,2,Lactobacillus_crispatus,1,-0.164310892,-0.022465316,Stable,Lcrispatus
UAB119_W5D7,UAB119,3,Lactobacillus_crispatus,1,-0.134498946,-0.162025981,Unstable,Lcrispatus
UAB079_W3D7,UAB079,2,Lactobacillus_crispatus,1,-0.12313743,-4.396855627,Stable,NonLacto
UAB077_W3D1,UAB077,2,Lactobacillus_crispatus,1,-0.110698297,-4.356547324,Stable,NonLacto
UAB002_W1D4,UAB002,1,Lactobacillus_crispatus,1,-0.097561928,-0.027980301,Unstable,Lcrispatus
UAB116_W1D7,UAB116,1,Lactobacillus_crispatus,1,-0.093512646,-4.718966633,Stable,NonLacto
EM09_W6D7,EM09,3,Lactobacillus_crispatus,1,-0.089900648,-0.027061833,Unstable,Liners
AYAC05_W7D7,AYAC05,4,Lactobacillus_crispatus,1,-0.086975033,-2.355872323,Unstable,Liners
UAB110_W6D2,UAB110,3,Lactobacillus_crispatus,1,-0.086701138,-2.756698229,Unstable,NonLacto
UAB060_W5D7,UAB060,3,Lactobacillus_crispatus,1,-0.069483678,-4.42945706,Stable,NonLacto
UAB077_W5D7,UAB077,3,Lactobacillus_crispatus,1,-0.06892274,-3.865781442,Stable,NonLacto
EM04_W3D7,EM04,2,Lactobacillus_crispatus,1,-0.058406032,-2.323685077,Stable,Ljensenii
UAB044_W9D7,UAB044,5,Lactobacillus_crispatus,1,-0.054518492,-2.213613482,Unstable,Lgasseri
UAB093_W9D6,UAB093,5,Lactobacillus_crispatus,1,-0.052853948,-0.005126702,Stable,Lcrispatus
UAB002_W7D7,UAB002,4,Lactobacillus_crispatus,1,-0.050965009,-0.109976818,Unstable,Lcrispatus
UAB028_W1D7,UAB028,1,Lactobacillus_crispatus,1,-0.046928032,-0.070842587,Unstable,Lcrispatus
EM11_W5D7,EM11,3,Lactobacillus_crispatus,1,-0.040301004,-0.018294367,Stable,Lcrispatus
AYAC03_W8D6,AYAC03,4,Lactobacillus_crispatus,1,-0.039682276,-0.00484716,Unstable,NonLacto
UAB122_W6D5,UAB122,4,Lactobacillus_crispatus,1,-0.033059422,-0.004855879,Unstable,Lcrispatus
AYAC02_W5D6,AYAC02,3,Lactobacillus_crispatus,1,-0.030293956,-0.020916004,Unstable,Lcrispatus
UAB093_W4D2,UAB093,2,Lactobacillus_crispatus,1,-0.026441206,-0.002161046,Stable,Lcrispatus
UAB093_W1D7,UAB093,1,Lactobacillus_crispatus,1,-0.023532555,-0.001371536,Stable,Lcrispatus
EM10_W4D7,EM10,3,Lactobacillus_crispatus,1,-0.021418379,-2.037511664,Stable,Liners
EM11_W7D7,EM11,4,Lactobacillus_crispatus,1,-0.015204065,-0.018191079,Stable,Lcrispatus
AYAC10_W1D7,AYAC10,1,Lactobacillus_crispatus,1,-0.01262436,-0.020038037,Stable,Lcrispatus
UAB010_W3D1,UAB010,2,Lactobacillus_crispatus,1,-0.01179196,-0.011084181,Unstable,Lcrispatus
UAB093_W7D7,UAB093,4,Lactobacillus_crispatus,1,-0.006314107,-0.00166192,Stable,Lcrispatus
UAB093_W5D7,UAB093,3,Lactobacillus_crispatus,1,-0.004410906,-0.002419354,Stable,Lcrispatus
EM11_W9D7,EM11,5,Lactobacillus_crispatus,1,-0.003425794,-0.019846319,Stable,Lcrispatus
UAB052_W4D2,UAB052,2,Lactobacillus_crispatus,1,-0.00334915,-3.010589342,Unstable,NonLacto
AYAC09_W1D7,AYAC09,1,Lactobacillus_crispatus,1,-0.0032441,-0.000904262,Stable,Lcrispatus
AYAC09_W9D7,AYAC09,5,Lactobacillus_crispatus,1,-0.001981369,-0.001571267,Stable,Lcrispatus
EM11_W1D7,EM11,1,Lactobacillus_crispatus,1,0.001846027,-0.022545014,Stable,Lcrispatus
UAB119_W3D7,UAB119,2,Lactobacillus_crispatus,1,0.005486743,-0.135786907,Unstable,Lcrispatus
UAB122_W1D7,UAB122,1,Lactobacillus_crispatus,1,0.013264003,-0.025172859,Unstable,Lcrispatus
UAB007_W1D7,UAB007,1,Lactobacillus_crispatus,1,0.025092366,-2.064494649,Unstable,Liners
UAB119_W9D7,UAB119,5,Lactobacillus_crispatus,1,0.02665533,-0.048626393,Unstable,Lcrispatus
UAB002_W5D7,UAB002,3,Lactobacillus_crispatus,1,0.042197134,-0.155185854,Unstable,Lcrispatus
UAB088_W4D1,UAB088,2,Lactobacillus_crispatus,1,0.065944994,-2.987955348,Unstable,Liners
UAB082_W2D5,UAB082,1,Lactobacillus_crispatus,1,0.070235265,-3.504330803,Unstable,NonLacto
UAB011_W3D6,UAB011,2,Lactobacillus_crispatus,1,0.081876628,-2.853153491,Stable,Lgasseri
UAB038_W2D2,UAB038,1,Lactobacillus_crispatus,1,0.098818451,-0.343291485,Unstable,NonLacto
UAB117_W1D6,UAB117,1,Lactobacillus_crispatus,1,0.100051014,-3.154120313,Stable,Liners
UAB002_W9D7,UAB002,5,Lactobacillus_crispatus,1,0.108709671,-0.14040954,Unstable,Lcrispatus
UAB028_W5D5,UAB028,3,Lactobacillus_crispatus,1,0.138223845,-0.941569633,Unstable,Lcrispatus
UAB015_W10D7,UAB015,5,Lactobacillus_crispatus,1,0.142989957,-3.695216595,Unstable,NonLacto
UAB052_W10D2,UAB052,5,Lactobacillus_crispatus,1,0.143797294,-2.556726683,Unstable,NonLacto
UAB021_W8D3,UAB021,4,Lactobacillus_crispatus,1,0.149067704,-3.902492809,Stable,NonLacto
UAB077_W1D7,UAB077,1,Lactobacillus_crispatus,1,0.161643014,-4.059981845,Stable,NonLacto
EM10_W6D5,EM10,4,Lactobacillus_crispatus,1,0.165953942,-2.049568449,Stable,Liners
UAB006_W2D2,UAB006,1,Lactobacillus_crispatus,1,0.171955351,-3.028388816,Unstable,NonLacto
UAB060_W7D7,UAB060,4,Lactobacillus_crispatus,1,0.210063499,-4.419075024,Stable,NonLacto
UAB011_W7D7,UAB011,4,Lactobacillus_crispatus,1,0.224050404,-3.081371609,Stable,Lgasseri
AYAC09_W7D4,AYAC09,4,Lactobacillus_crispatus,1,0.235261578,-1.052130403,Stable,Lcrispatus
UAB028_W9D7,UAB028,5,Lactobacillus_crispatus,1,0.240932159,-0.45859069,Unstable,Lcrispatus
UAB082_W5D7,UAB082,3,Lactobacillus_crispatus,1,0.247406908,-3.579608524,Unstable,NonLacto
UAB060_W3D7,UAB060,2,Lactobacillus_crispatus,1,0.291045775,-5.055517328,Stable,NonLacto
UAB015_W9D4,UAB015,4,Lactobacillus_crispatus,1,0.319622926,-3.460394535,Unstable,NonLacto
UAB044_W7D7,UAB044,4,Lactobacillus_crispatus,1,0.34279539,-2.212568857,Unstable,Lgasseri
UAB117_W9D6,UAB117,5,Lactobacillus_crispatus,1,0.344583047,-2.94749074,Stable,Liners
UAB117_W3D6,UAB117,2,Lactobacillus_crispatus,1,0.345598575,-3.114034694,Stable,Liners
UAB077_W8D2,UAB077,4,Lactobacillus_crispatus,1,0.355854621,-4.349692477,Stable,NonLacto
UAB060_W10D2,UAB060,5,Lactobacillus_crispatus,1,0.356089931,-4.378823718,Stable,NonLacto
UAB028_W7D7,UAB028,4,Lactobacillus_crispatus,1,0.372891667,-0.504292914,Unstable,Lcrispatus
UAB038_W3D7,UAB038,2,Lactobacillus_crispatus,1,0.373231177,-1.245076704,Unstable,NonLacto
