UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
AYAC02_W1D7,AYAC02,V,#525254,1,0.002585879,2.03E-06,3.88E-07,2.20E-07,1.96E-08,2.79E-05,2.14E-05,0.000482773,3.54E-05
AYAC02_W3D1,AYAC02,III,#d48326,2,0.003658324,9.92E-05,1.31E-06,8.21E-07,1.69E-08,4.65E-05,6.83E-06,0.000315497,0.000554902
AYAC02_W5D6,AYAC02,I,#d44646,3,0.001540881,6.85E-06,3.43E-06,6.96E-07,4.26E-08,4.45E-05,1.24E-05,0.00068432,6.15E-05
AYAC02_W7D5,AYAC02,I,#d44646,4,0.00137398,0.000931717,,0.000306974,,0.000233747,0.000357124,0.001308346,5.01E-05
AYAC02_W9D3,AYAC02,IV,#262fd4,5,0.001658653,6.88E-05,2.98E-06,1.09E-06,1.96E-06,2.43E-05,1.67E-05,0.000604113,0.000325839
AYAC03_W1D7,AYAC03,IV,#262fd4,1,0.002695177,0.00125961,2.23E-05,2.94E-05,4.63E-05,4.11E-06,6.50E-05,0.000173191,0.006867264
AYAC03_W4D7,AYAC03,I,#d44646,2,0.002121244,0.000196825,8.50E-06,,,,6.36E-08,0.000191078,0.000157209
AYAC03_W7D5,AYAC03,I,#d44646,3,0.00090308,0.00112485,5.71E-05,2.10E-05,5.26E-07,6.37E-06,0.000138786,0.000251792,0.000275263
AYAC03_W8D6,AYAC03,I,#d44646,4,0.003320218,0.000123069,2.21E-06,1.81E-06,,0.000101553,4.57E-05,0.000796793,0.00039297
AYAC03_W9D7,AYAC03,III,#d48326,5,0.00294981,5.50E-05,4.46E-06,2.28E-06,1.59E-08,2.26E-05,2.16E-05,0.000440013,0.000519472
AYAC05_W1D6,AYAC05,IV,#262fd4,1,0.000553022,1.71E-05,0.00012303,0.00015009,2.25E-05,9.10E-06,7.47E-05,0.000120754,0.000177915
AYAC05_W3D7,AYAC05,III,#d48326,2,0.000890365,0.000246609,2.20E-06,1.53E-05,5.23E-06,,1.42E-05,7.29E-05,0.000649524
AYAC05_W5D5,AYAC05,IV,#262fd4,3,0.000183969,7.88E-05,7.56E-06,1.94E-05,3.84E-07,6.22E-06,1.99E-05,0.000413096,0.000177402
AYAC05_W7D7,AYAC05,IV,#262fd4,4,0.002052593,0.000377466,2.56E-06,2.04E-06,1.50E-07,6.44E-08,3.89E-06,0.000126468,0.000258741
AYAC05_W9D7,AYAC05,III,#d48326,5,0.000824117,0.000102062,2.21E-05,6.27E-06,1.55E-05,,5.49E-05,4.62E-05,0.000413425
AYAC09_W1D7,AYAC09,I,#d44646,1,0.002138188,1.42E-06,5.96E-07,1.00E-07,6.94E-08,8.78E-05,4.44E-05,0.001216127,1.41E-06
AYAC09_W3D4,AYAC09,I,#d44646,2,0.001272848,0.000230441,9.25E-05,5.31E-05,2.36E-05,3.04E-05,8.86E-05,0.000539707,9.55E-05
AYAC09_W5D7,AYAC09,I,#d44646,3,0.002016958,2.13E-06,8.45E-07,,9.57E-08,3.22E-05,2.86E-05,0.001019183,2.58E-06
AYAC09_W7D4,AYAC09,I,#d44646,4,0.000413207,0.000655796,3.60E-05,7.30E-05,1.86E-06,2.93E-06,9.26E-05,0.000534738,0.000661631
