"","x_pred","y_pred"
"AYAC02_W1D7",-1.56845226112842,-5810.34260603684
"AYAC02_W3D1",-2.34053695216093,-4590.69070177544
"AYAC02_W5D6",-0.857110646244582,-6826.40600973077
"AYAC02_W9D3",-1.88258788870874,-4759.14294599574
"AYAC03_W8D6",2.34640473291048,-2702.18867456867
"AYAC03_W9D7",0.105889099584179,-2139.10779297434
"AYAC09_W1D7",5.67354885490027,-915.741115599117
"AYAC09_W5D7",1.45761271875464,-413.208540706032
"AYAC09_W9D7",0.00190454537745,-803.747812119343
"AYAC10_W1D7",-2.77224694537882,-3188.78639982821
"AYAC10_W2D7",-3.0717454310848,-4399.88317444329
"AYAC10_W9D5",2.03841565429521,-1531.68223756355
"EM09_W2D3",0.0310523356543965,-4933.90029741754
"EM09_W4D4",2.6799099604511,-3569.22430608839
"EM09_W6D7",2.17915809111986,-1836.50206462628
"EM09_W9D6",-0.647214092795499,-3901.04370606979
"EM10_W8D7",-2.48942092175755,-3803.42118177266
"EM11_W1D7",4.09541767081499,-478.648918047999
"EM11_W7D7",0.745035945119585,-2214.201284674
"EM11_W9D7",4.56036416649199,142.319306113964
"UAB002_W1D4",-1.97957443304646,-4025.38508521085
"UAB002_W5D7",-5.89534192449893,-6674.74069308096
"UAB002_W7D7",-1.9829557347648,-3085.20042296471
"UAB002_W9D7",0.377365675925809,-2888.82737901055
"UAB010_W3D1",-1.93202450868189,-8239.13913169309
"UAB010_W5D6",0.958482328117255,-2614.90651714391
"UAB028_W1D7",-4.9213961674275,-6692.35773900058
"UAB028_W3D7",-0.955467838115851,-7190.31020246385
"UAB028_W5D5",-4.72797693851675,-7779.42625865622
"UAB028_W7D7",-4.19414297058465,-8084.46442575731
"UAB028_W9D7",-1.47966520492205,-9925.81985402951
"UAB035_W3D6",-4.26253792832719,-5063.74409016949
"UAB035_W5D7",-4.89737229804568,-9333.62262981933
"UAB035_W7D4",-3.1737465757395,-10411.7366789808
"UAB035_W9D7",-7.38790019602757,-12040.143030226
"UAB038_W2D2",0.437680606277518,-5683.67760594341
"UAB038_W3D7",-3.68246662983668,-6573.97291710341
"UAB093_W1D7",2.4745994808803,-1472.15330371841
"UAB093_W4D2",1.82090537460594,-1315.90924135151
"UAB093_W5D7",2.37291333077241,-942.653694219583
"UAB093_W7D7",1.47331831384167,-275.75077125728
"UAB093_W9D6",3.1232319891697,1376.08413099477
"UAB119_W5D7",-2.84322371632655,-4194.93502503151
"UAB119_W7D7",1.26087876481453,-4766.8589227555
"UAB119_W9D7",2.74103662393725,-2919.48453525951
"UAB122_W1D7",3.34915085287144,67.3580326263639
"UAB122_W3D4",-1.73129574307831,-1214.29871835279
"UAB122_W6D5",3.57975449356282,-1586.40877185418
